Geneid	BF1_Cbr	BF2_Cbr	BF3_Cbr	BM1_Cbr	BM2_Cbr	BM3_Cbr	9F1_Cni	9F2_Cni	9F3_Cni	9M1_Cni	9M2_Cni	9M3_Cni
X.g21994.t1__Cnig_chr_X.g26154.t1	135	90	84	15340	10881	4291	30	62	41	21796	16559	21634
II.g3984.t1__Cnig_chr_II.g4035.t2	65	60	28	168	63	139	156	143	142	214	189	166
X.g20916.t2__Cnig_chr_X.g24839.t1	10901	8455	6305	8992	4662	8430	19516	16563	19637	17096	14091	15061
III.g7436.t2__Cnig_chr_III.g8362.t1	19	43	17	115	98	58	498	302	328	1237	902	823
I.g1783.t1__Cnig_chr_I.g1398.t3	595	553	453	746	478	701	259	221	221	823	600	599
II.g5270.t2__Cnig_chr_II.g5611.t1	1906	1449	1124	14469	9078	10830	1074	901	893	8890	8662	8913
IV.g12401.t2__Cnig_chr_IV.g14392.t1	910	615	144	576	25	729	784	1027	872	668	455	686
III.g9436.t1__Cnig_chr_III.g10788.t1	16	25	21	268	232	93	232	152	222	571	580	500
V.g16464.t1__Cnig_chr_V.g19489.t1	2433	2107	2397	1425	1229	1422	1271	1643	1518	1488	1076	1560
IV.g11525.t1__Cnig_chr_IV.g13456.t1	602	505	609	1202	1188	1024	921	691	1022	1031	1057	1160
III.g9999.t1__Cnig_chr_III.g11443.t1	4666	4077	6339	2951	2578	2938	1193	1247	1238	1548	1886	1866
V.g16815.t1__Cnig_chr_V.g19848.t1	2273	2337	1902	1967	1326	1920	1427	1937	1712	2114	1939	2204
III.g8305.t1__Cnig_chr_III.g9571.t1	145	116	152	154	121	111	281	241	264	252	228	261
II.g6264.t1__Cnig_chr_II.g6691.t1	3915	3316	2331	5108	2803	5178	4745	4074	5310	5788	5012	5565
V.g14360.t1__Cnig_chr_V.g16960.t1	1890	2307	1698	1382	869	1772	1532	1653	1747	1670	1383	1827
X.g21695.t1__Cnig_chr_X.g25727.t1	2249	1563	1983	2632	2346	1847	1133	1461	1334	764	671	849
III.g8278.t1__Cnig_chr_III.g9539.t1	88	76	90	41	60	34	1368	1454	1393	1154	987	985
I.g1081.t2__Cnig_chr_I.g66.t1	99	105	103	136	72	95	186	166	142	239	299	241
V.g17417.t1__Cnig_chr_V.g20508.t1	7404	6167	4677	4601	3308	4825	2840	3384	3077	2126	2698	2466
II.g4056.t1__Cnig_chr_II.g4130.t1	964	1322	845	580	303	634	1582	1758	1780	865	819	944
II.g5006.t1__Cnig_chr_II.g5345.t1	2688	1911	1684	2579	1352	2600	2121	2146	2363	2459	1975	2336
IV.g11411.t1__Cnig_chr_IV.g13342.t1	1910	2187	2395	1911	1835	1853	1420	1491	1382	1428	1705	1665
I.g2595.t1__Cnig_chr_I.g2174.t3	225	230	177	641	476	470	530	572	550	947	842	1010
III.g9692.t1__Cnig_chr_III.g10934.t1	999	990	632	1704	710	1445	2413	1783	2075	2269	1775	1737
III.g9449.t1__Cnig_chr_III.g10803.t1	3161	2244	2681	1611	1331	1761	1331	1379	1377	1474	1427	1604
I.g942.t1__Cnig_chr_I.g430.t1	990	1036	803	1052	705	960	5045	4574	4948	1576	1640	1711
II.g4277.t2__Cnig_chr_II.g4436.t1	1201	1228	1206	1789	1836	1604	1436	1153	1182	1284	2087	1368
I.g2165.t3__Cnig_chr_I.g1791.t1	196	124	172	302	333	278	184	138	157	376	384	407
II.g5722.t1__Cnig_chr_II.g6088.t1	2451	2158	1496	1110	540	1428	1876	2050	2114	1774	1397	1696
I.g3878.t1__Cnig_chr_I.g3960.t1	2645	2685	2380	1686	1155	1877	2036	1906	1911	1442	1265	1293
II.g4256.t1__Cnig_chr_II.g4395.t1	12	33	7	218	246	44	3282	1451	1995	4760	5123	3368
II.g5952.t2__Cnig_chr_II.g6338.t3	1	0	5	8	8	4	5	7	8	20	14	10
X.g19120.t1__Cnig_chr_X.g22842.t1	1362	1126	549	3321	1195	2798	1951	1493	2368	2380	1691	2391
V.g17579.t1__Cnig_chr_V.g20705.t1	640	770	728	396	410	411	196	212	192	80	119	96
V.g14823.t1__Cnig_chr_V.g17569.t1	1093	1369	1610	756	763	753	1124	991	1062	950	1572	1090
II.g5829.t2__Cnig_chr_II.g6209.t1	116	118	98	315	257	280	398	260	334	738	634	609
I.g919.t3__Cnig_chr_I.g408.t1	144	164	56	1353	835	270	7070	3508	5024	11063	10112	8422
X.g21869.t4__Cnig_chr_X.g25936.t2	728	624	494	2041	1075	1079	288	1154	572	348	200	883
V.g18375.t1__Cnig_chr_V.g21929.t2	54	60	26	55	30	48	83	95	41	113	124	84
I.g2064.t2__Cnig_chr_I.g1687.t1	219	157	129	535	377	431	345	279	341	611	452	495
IV.g11708.t1__Cnig_chr_IV.g13950.t3	4170	2347	2619	1535	1164	1774	949	1215	1135	1082	713	1093
I.g1258.t2__Cnig_chr_I.g818.t1	5091	6103	5262	6531	5235	6102	6157	5213	5727	7412	7162	7691
X.g20244.t3__Cnig_chr_X.g24104.t1	98	96	82	127	81	124	152	134	121	183	193	163
V.g17578.t3__Cnig_chr_V.g20714.t1	1223	1033	730	680	295	791	1652	1813	1947	926	1025	1027
I.g905.t2__Cnig_chr_I.g390.t1	106	143	109	355	196	247	124	111	92	244	192	184
X.g20802.t1__Cnig_chr_X.g24706.t2	471	329	343	225	115	256	103	146	95	254	217	243
IV.g11921.t1__Cnig_chr_IV.g13721.t1	5233	3674	4272	5256	4752	4953	2002	1788	1880	3615	4325	4214
III.g8281.t1__Cnig_chr_III.g9541.t1	309	262	273	290	233	345	283	190	270	462	445	408
V.g16609.t2__Cnig_chr_V.g19647.t1	318	267	226	631	576	476	271	262	203	450	659	477
III.g10017.t3__Cnig_chr_III.g11459.t1	40	35	34	33	21	36	50	49	11	28	29	25
I.g1317.t1__Cnig_chr_I.g882.t1	3470	2592	3155	4709	3063	4006	2250	1986	2123	4037	4086	4398
V.g18236.t2__Cnig_chr_V.g21690.t3	84	79	66	175	109	144	632	792	733	782	935	862
III.g8551.t1__Cnig_chr_III.g9798.t1	4348	2895	3450	1573	1482	1856	2183	2135	2176	1504	1475	1375
III.g8133.t1__Cnig_chr_III.g9373.t1	4049	4515	3883	9623	5716	6164	10943	12794	13489	8773	7292	10936
X.g19226.t2__Cnig_chr_X.g22979.t1	3418	3012	2399	5464	2686	4524	5732	5262	6001	7455	5216	6360
V.g17385.t1__Cnig_chr_V.g20477.t1	308	334	332	496	434	506	207	364	205	259	496	355
II.g6271.t1__Cnig_chr_II.g6699.t1	1830	2133	1298	1303	685	1410	2671	2698	2744	2476	1928	2080
X.g19187.t3__Cnig_chr_X.g22917.t2	3547	3284	1973	6420	2259	5343	7102	4775	7458	13678	8589	8159
II.g5940.t1__Cnig_chr_II.g6322.t1	160	188	198	307	233	234	327	353	254	551	729	453
III.g10105.t3__Cnig_chr_III.g11571.t2	143	192	137	359	274	202	264	401	361	194	125	331
X.g21875.t2__Cnig_chr_X.g25942.t1	340	333	208	455	137	361	308	316	324	526	375	362
I.g2722.t4__Cnig_chr_I.g2315.t1	6102	6618	13912	3744	3790	3590	1921	1946	2109	1186	1041	1105
V.g16547.t1__Cnig_chr_V.g19580.t1	4236	4125	2733	6117	2937	5739	3853	3962	3857	5827	4318	5600
IV.g12654.t1__Cnig_chr_IV.g14680.t3	45	39	35	196	103	87	120	269	133	378	389	305
II.g7182.t1__Cnig_chr_II.g8100.t3	1443	1721	1151	1733	834	1562	1500	1708	1914	2084	1505	2091
II.g5405.t1__Cnig_chr_II.g5760.t1	800	649	1110	992	1210	851	627	509	526	788	848	772
I.g3637.t1__Cnig_chr_I.g3585.t1	1929	2655	2254	1352	1070	1458	3287	3458	3433	1559	1889	1718
III.g10427.t2__Cnig_chr_III.g11926.t2	8504	8485	6002	8964	4540	7745	14669	11779	14007	14420	12362	12857
III.g10213.t1__Cnig_chr_III.g11716.t1	110	120	77	194	159	129	222	277	257	374	323	299
I.g2765.t1__Cnig_chr_I.g2376.t1	3317	1752	2216	1265	884	1437	1089	1136	1233	990	836	842
II.g4588.t1__Cnig_chr_II.g4906.t2	909	832	546	1061	400	1001	1333	1401	1507	1175	1213	1242
V.g16468.t1__Cnig_chr_V.g19493.t2	2000	1621	4304	1047	1843	1023	2123	1849	1923	1958	2480	2224
V.g17413.t1__Cnig_chr_V.g20504.t1	1383	1688	1337	893	664	1034	1149	1309	1290	1093	897	1098
X.g22039.t1__Cnig_chr_X.g26212.t2	446	309	398	159	112	183	267	294	214	105	106	102
V.g16507.t1__Cnig_chr_V.g19540.t1	1766	1608	1012	1878	852	1975	2253	2031	2244	1992	1499	1595
III.g9498.t1__Cnig_chr_III.g10856.t1	68	32	53	85	89	75	41	47	41	71	49	65
II.g6031.t1__Cnig_chr_II.g6410.t1	1537	1093	1274	699	708	758	472	517	475	448	445	477
II.g6478.t2__Cnig_chr_II.g6784.t1	3165	2884	2271	1379	874	1816	3399	3818	4007	2963	3121	3214
X.g20347.t3__Cnig_chr_X.g24214.t2	342	306	315	273	187	268	346	292	318	312	279	296
V.g16965.t1__Cnig_chr_V.g20010.t1	2680	1601	2063	913	670	1052	649	811	763	843	986	806
II.g6063.t1__Cnig_chr_II.g6450.t1	42	47	34	90	83	107	93	90	74	219	180	192
III.g7576.t1__Cnig_chr_III.g8562.t2	701	809	735	684	409	654	727	740	834	788	768	792
X.g20666.t1__Cnig_chr_X.g24554.t1	629	662	717	1080	519	752	491	283	360	664	547	507
I.g1545.t1__Cnig_chr_I.g1157.t2	16	11	17	51	63	48	23	10	12	45	40	35
III.g10082.t1__Cnig_chr_III.g11528.t1	421	458	674	238	297	254	156	135	151	104	156	122
II.g6463.t3__Cnig_chr_II.g6768.t1	5373	3301	3592	7045	4992	5341	2563	2952	4026	3401	3542	4435
X.g20763.t1__Cnig_chr_X.g24665.t1	48	50	24	85	20	27	299	148	171	483	418	270
IV.g13004.t3__Cnig_chr_IV.g16171.t3	182	142	175	303	235	273	486	448	449	591	496	543
II.g5259.t2__Cnig_chr_II.g5600.t2	573	473	438	989	764	949	520	530	499	649	604	805
II.g6194.t1__Cnig_chr_II.g6604.t1	3485	2383	2107	2306	1767	2393	2073	1955	1879	1895	2268	2197
IV.g13431.t1__Cnig_chr_IV.g15674.t2	1178	1250	783	760	332	928	1033	1127	1223	691	843	796
V.g13906.t2__Cnig_chr_V.g16344.t3	35	23	31	91	73	83	34	33	28	75	81	83
V.g15518.t1__Cnig_chr_V.g18466.t1	146	111	112	740	578	614	40	45	31	138	104	116
IV.g12880.t1__Cnig_chr_IV.g14940.t1	11	10	20	12	8	11	1	0	3	4	5	7
V.g17221.t1__Cnig_chr_V.g20289.t1	3	5	1	12	7	14	10	7	8	58	77	59
X.g21725.t1__Cnig_chr_X.g25776.t1	436	338	276	816	478	628	469	428	401	942	787	773
I.g2113.t1__Cnig_chr_I.g1776.t2	16	8	13	27	35	27	103	37	65	114	111	81
I.g2520.t1__Cnig_chr_I.g1985.t1	3482	3058	2418	2392	1419	2520	2369	2612	2618	2377	2001	2219
IV.g12713.t1__Cnig_chr_IV.g14740.t1	2824	2175	1609	9123	4024	4778	21956	14266	18258	29678	18908	20198
II.g5841.t1__Cnig_chr_II.g6222.t1	1432	882	1112	1441	1303	1390	665	657	698	870	862	787
V.g16936.t1__Cnig_chr_V.g19978.t1	2527	2853	2350	1189	933	1567	1181	1393	1410	1092	1033	1060
III.g7707.t3__Cnig_chr_III.g8605.t1	3393	3621	2291	1870	820	2351	2634	2965	3079	1768	1525	1822
X.g20636.t1__Cnig_chr_X.g24525.t1	19	10	15	14	18	13	14	7	9	10	17	15
V.g17415.t1__Cnig_chr_V.g20506.t3	72	39	59	109	134	85	89	87	114	113	113	123
III.g9128.t2__Cnig_chr_III.g10453.t1	550	496	337	948	453	715	2208	1557	2038	4205	2693	2979
V.g14432.t2__Cnig_chr_V.g17040.t2	9097	8100	3700	9045	1448	8374	9213	10121	10562	8181	5822	8203
III.g9047.t1__Cnig_chr_III.g10342.t1	12	1	3	23	15	6	26	12	21	35	38	38
IV.g12252.t1__Cnig_chr_IV.g14216.t1	2107	2450	1592	5146	2195	4355	3708	3756	3551	5891	3974	5760
X.g20053.t2__Cnig_chr_X.g23930.t2	350	266	328	601	582	505	467	382	459	667	573	653
II.g5066.t1__Cnig_chr_II.g5407.t2	43	46	37	95	54	60	303	168	222	476	534	321
II.g5769.t1__Cnig_chr_II.g6142.t1	346	219	273	433	378	316	789	401	521	1696	1360	1291
I.g2702.t1__Cnig_chr_I.g2292.t1	2878	1893	1272	1628	820	1770	1496	1051	1110	2106	1580	1538
X.g19711.t1__Cnig_chr_X.g23594.t1	27	35	22	147	113	100	280	184	259	703	534	459
X.g20638.t1__Cnig_chr_X.g24527.t1	29	19	21	69	81	59	54	57	57	68	61	52
I.g3442.t1__Cnig_chr_I.g3241.t3	1489	1799	1099	884	391	1155	3243	3462	3482	2285	2412	2327
II.g5820.t1__Cnig_chr_II.g6200.t1	250	237	339	66	63	80	195	126	143	288	325	231
III.g10162.t1__Cnig_chr_III.g11658.t1	10248	8266	8807	11782	8090	10637	16506	15857	19675	10448	12813	13314
III.g9478.t1__Cnig_chr_III.g10831.t2	2737	2945	3858	1314	1002	1589	1005	1068	1112	1025	1064	939
IV.g12647.t1__Cnig_chr_IV.g14673.t1	4014	4169	3633	2855	1994	3036	1747	1592	1783	2194	2101	2201
IV.g11760.t1__Cnig_chr_IV.g13900.t1	5246	2986	4168	8250	10320	9492	4116	4447	4506	4312	5489	5637
IV.g13493.t1__Cnig_chr_IV.g15791.t1	5249	3307	4920	4443	4663	4262	4341	3455	4534	2931	4165	3201
IV.g10557.t1__Cnig_chr_IV.g11948.t1	12081	9717	14502	8060	6137	8610	7255	7820	7901	8475	10614	9676
V.g16392.t1__Cnig_chr_V.g19410.t1	2513	1550	1787	2195	1620	2085	2297	1879	2015	2637	2526	2549
I.g3153.t1__Cnig_chr_I.g2814.t1	63603	90281	101334	45259	45421	42698	69337	62580	65680	52219	55588	52664
I.g1359.t1__Cnig_chr_I.g954.t1	852	596	551	1274	779	1086	768	562	633	1606	1182	1043
X.g20037.t3__Cnig_chr_X.g23905.t1	178	276	137	1441	1216	384	11772	5817	8253	17812	12301	11704
IV.g13082.t1__Cnig_chr_IV.g15124.t3	34	44	44	173	92	107	232	164	178	799	621	467
III.g8395.t1__Cnig_chr_III.g9668.t1	32999	34480	24295	25682	16598	25122	33499	34453	34422	28227	25773	29143
II.g4331.t1__Cnig_chr_II.g4515.t2	1347	1234	1156	519	468	630	1171	1160	1162	529	710	485
I.g2408.t1__Cnig_chr_I.g2078.t1	48978	53097	59361	27692	26515	26836	70105	66786	67493	50095	56409	47689
IV.g12335.t1__Cnig_chr_IV.g14319.t1	769	599	939	529	580	502	368	352	366	446	677	454
II.g5645.t2__Cnig_chr_II.g6006.t1	323	258	254	787	575	458	649	844	521	596	600	584
IV.g12875.t1__Cnig_chr_IV.g14946.t1	1062	713	701	1466	873	1441	1488	2269	1631	1048	842	1169
II.g6476.t1__Cnig_chr_II.g6782.t1	1698	1392	1363	798	619	938	1452	1498	1627	948	1034	932
X.g21802.t1__Cnig_chr_X.g25885.t1	1323	1025	688	1599	773	1394	1084	1002	1546	1544	1247	1623
II.g7093.t1__Cnig_chr_II.g7964.t1	22	8	13	45	65	30	323	252	324	328	289	342
V.g18234.t1__Cnig_chr_V.g21692.t1	210	205	220	101	114	89	167	174	169	138	149	183
III.g9455.t1__Cnig_chr_III.g10809.t1	2258	1530	1878	843	881	980	963	868	909	840	783	730
V.g16412.t1__Cnig_chr_V.g19431.t1	15	12	22	45	20	36	115	121	110	64	60	58
III.g9908.t1__Cnig_chr_III.g11321.t1	1505	1698	1640	832	825	984	1514	1537	1603	1166	1226	1212
II.g4222.t1__Cnig_chr_II.g4331.t1	349	249	72	1697	114	1402	843	772	924	1524	832	1216
V.g17047.t1__Cnig_chr_V.g20082.t1	883	627	643	1407	1003	1188	1448	1233	1280	1471	1441	1276
V.g17255.t1__Cnig_chr_V.g20329.t2	903	729	523	1291	564	1018	1321	1219	1416	924	797	846
III.g7842.t1__Cnig_chr_III.g8865.t2	1291	1235	856	1219	539	1196	992	1082	1101	1153	1210	1256
II.g5030.t1__Cnig_chr_II.g5369.t1	10	39	10	169	35	60	1713	1102	1503	1472	1243	901
III.g10306.t1__Cnig_chr_III.g11808.t1	461	286	342	2398	2623	2401	3	11	4	564	486	888
I.g2556.t1__Cnig_chr_I.g2132.t2	228	164	134	1819	1415	1500	6	15	7	1249	1084	1688
III.g7696.t2__Cnig_chr_III.g8617.t1	170	163	94	342	130	256	391	271	362	444	379	413
IV.g13614.t1__Cnig_chr_IV.g15947.t1	1764	1573	877	1838	526	2071	4347	4448	5148	6157	5925	6711
III.g7880.t1__Cnig_chr_III.g8915.t1	984	760	707	1560	890	1205	2593	1983	2126	3882	3393	3140
III.g7680.t1__Cnig_chr_III.g8640.t2	2423	2428	1525	724	248	1165	774	1002	1100	1080	860	911
II.g3976.t1__Cnig_chr_II.g4027.t1	26	59	14	1	0	3	1	1	0	3	0	1
V.g17148.t1__Cnig_chr_V.g20209.t1	1036	862	749	2439	2079	2567	843	686	692	1713	1876	1639
I.g3799.t1__Cnig_chr_I.g3823.t1	447	348	511	471	510	436	802	711	728	1057	1552	947
I.g1459.t1__Cnig_chr_I.g1058.t2	2045	1934	1663	1222	626	1402	4111	4179	4272	2447	2673	2331
III.g9353.t1__Cnig_chr_III.g10696.t1	14	7	18	40	58	30	26	10	12	99	77	84
III.g8613.t2__Cnig_chr_III.g9861.t1	426	522	292	750	465	801	1327	1138	1247	1294	1325	1104
II.g4447.t1__Cnig_chr_II.g4653.t1	3602	3934	2780	2904	2028	3198	3751	4333	3986	2359	2173	2688
IV.g10748.t1__Cnig_chr_IV.g12397.t1	3425	2603	3794	338	302	629	640	887	794	168	160	181
X.g18762.t1__Cnig_chr_X.g22418.t3	29	35	29	100	43	67	84	67	53	149	170	140
X.g18779.t1__Cnig_chr_X.g22435.t1	2669	2238	1917	3833	2025	3423	4492	4089	4268	4913	4348	4746
I.g3690.t1__Cnig_chr_I.g3670.t1	850	557	831	397	437	412	434	383	411	374	485	374
II.g5229.t2__Cnig_chr_II.g5565.t1	3258	3094	3078	4912	4338	4616	2943	2372	2668	4295	4198	4656
II.g4092.t1__Cnig_chr_II.g4167.t1	297	204	250	1243	1321	1056	17	8	6	441	376	747
V.g15720.t2__Cnig_chr_V.g18669.t1	200	154	192	326	240	338	20	21	27	45	33	70
V.g14563.t1__Cnig_chr_V.g17120.t1	13354	16683	10284	3661	1534	6003	5960	8138	8149	1996	1753	2331
II.g7174.t1__Cnig_chr_II.g8082.t1	304	250	289	1458	1375	1315	18	31	7	1563	1363	2486
II.g6719.t2__Cnig_chr_II.g7260.t1	554	371	371	773	492	739	1045	733	789	762	625	604
II.g7307.t2__Cnig_chr_II.g8247.t1	34	57	26	520	283	215	379	180	283	969	753	788
III.g8374.t2__Cnig_chr_III.g9647.t1	8103	6934	7256	6045	4787	6233	2498	2492	2779	3840	2991	4131
IV.g12800.t1__Cnig_chr_IV.g14847.t1	61168	126558	143642	47406	58416	41080	79175	68753	76003	62492	101020	66827
I.g2065.t2__Cnig_chr_I.g1689.t1	474	341	296	549	367	466	242	568	316	472	451	583
IV.g12352.t1__Cnig_chr_IV.g14339.t1	2567	1771	1388	4119	2020	3546	3152	2976	3124	4852	3702	4055
III.g10417.t1__Cnig_chr_III.g11944.t2	3967	2745	2905	3065	2084	3100	1	1	2	0	1	0
IV.g13139.t1__Cnig_chr_IV.g15200.t1	399	268	356	893	770	473	782	752	1036	1359	1129	1534
III.g8184.t1__Cnig_chr_III.g9433.t1	5	26	20	242	233	43	1585	837	1161	2057	2040	1663
IV.g12552.t1__Cnig_chr_IV.g14550.t1	68	62	29	383	371	88	1892	894	1340	2822	2597	1844
II.g4209.t1__Cnig_chr_II.g4308.t2	14	10	3	54	52	39	25	24	22	47	47	45
II.g4808.t1__Cnig_chr_II.g5148.t3	1728	2952	1163	4331	1713	3149	4423	4231	3949	2541	1724	2695
V.g16516.t3__Cnig_chr_V.g19552.t2	6335	6445	4507	2180	1003	3178	3421	4477	3787	2328	1738	1768
II.g4975.t1__Cnig_chr_II.g5311.t1	230	272	200	561	450	407	621	839	596	420	600	653
IV.g12200.t1__Cnig_chr_IV.g14155.t1	3765	4346	3500	2499	1544	2837	2775	3428	3365	3040	2669	3007
IV.g11820.t1__Cnig_chr_IV.g13829.t1	1137	752	539	1588	981	1418	1075	1170	1470	1382	1299	1307
III.g8163.t1__Cnig_chr_III.g9412.t1	71719	54504	63479	38195	36220	34434	59423	53728	55559	48332	47114	45237
III.g10405.t1__Cnig_chr_III.g11891.t1	749	645	686	385	295	366	885	958	954	639	515	529
III.g10150.t1__Cnig_chr_III.g11633.t1	361	321	410	1513	1360	1229	12	12	4	410	566	553
V.g17902.t1__Cnig_chr_V.g21099.t1	1334	1512	1524	1218	974	1345	1578	1844	1814	1246	1239	1637
X.g18590.t2__Cnig_chr_X.g22241.t1	84	90	44	272	179	171	1274	712	842	1537	1189	1090
III.g7578.t1__Cnig_chr_III.g8564.t1	2010	2019	1861	1637	1439	1718	1532	1464	1558	1389	1323	1290
V.g18247.t1__Cnig_chr_V.g21677.t1	86	67	100	195	179	144	186	154	193	263	273	269
V.g17247.t1__Cnig_chr_V.g20320.t4	11	5	12	3	5	3	0	2	1	7	8	13
I.g2575.t1__Cnig_chr_I.g2150.t1	67	37	58	132	132	124	66	55	45	138	123	145
I.g2600.t1__Cnig_chr_I.g2180.t1	8786	7056	7363	8874	7890	6369	3010	10560	5348	2345	2453	8882
V.g17147.t2__Cnig_chr_V.g20208.t1	126	77	80	1109	1022	941	2	5	3	698	580	747
I.g1776.t2__Cnig_chr_I.g1391.t1	2279	3063	3108	1102	868	1224	2709	2686	2788	1370	1808	1546
II.g4685.t3__Cnig_chr_II.g4997.t3	1491	1281	843	5240	4456	2337	5469	3163	12492	7013	5038	11258
X.g18777.t3__Cnig_chr_X.g22433.t2	16	16	7	18	21	15	10	7	8	17	23	12
II.g5281.t1__Cnig_chr_II.g5620.t3	114	110	66	1050	765	796	2	11	2	594	411	738
I.g2630.t1__Cnig_chr_I.g2216.t1	2665	2272	2119	1509	1035	1621	1841	2018	2089	1750	1748	1641
V.g14445.t1__Cnig_chr_V.g17053.t2	63	44	61	91	94	98	71	82	59	108	149	115
X.g18560.t3__Cnig_chr_X.g22214.t3	659	590	441	1173	400	898	402	379	347	595	471	533
V.g17162.t1__Cnig_chr_V.g20228.t1	398	255	398	440	471	379	168	146	150	210	153	175
III.g9149.t2__Cnig_chr_III.g10475.t1	5876	4563	5291	877	672	1528	1267	1823	1552	357	388	364
X.g19371.t2__Cnig_chr_X.g23131.t3	1045	1034	917	1208	625	1037	946	1162	1021	1069	891	1084
I.g1342.t1__Cnig_chr_I.g931.t1	154	58	132	167	178	150	143	158	147	237	243	241
III.g9947.t1__Cnig_chr_III.g11397.t1	35506	45128	46510	28492	28383	25600	46437	38973	41267	35817	38729	35446
III.g7901.t3__Cnig_chr_III.g8940.t1	2856	2959	3204	4824	3329	3981	2871	2704	2901	3554	4168	4141
II.g7331.t1__Cnig_chr_II.g8271.t2	55	27	30	733	348	276	54	56	59	542	358	782
IV.g11887.t1__Cnig_chr_IV.g13758.t1	5	59	2	30	19	7	2	0	1	4	3	8
III.g10426.t1__Cnig_chr_III.g11927.t1	319	292	228	1819	1433	1566	73	69	61	1720	1820	2009
II.g6339.t1__Cnig_chr_II.g6803.t2	289	278	248	3027	1980	2436	858	661	494	3777	3280	4275
IV.g13820.t1__Cnig_chr_IV.g16218.t1	943	698	626	6388	5040	5454	16	39	3	3745	2868	4910
IV.g12214.t1__Cnig_chr_IV.g14172.t1	3004	2718	1856	2143	945	2140	2787	3083	3077	2624	2116	2499
III.g8726.t1__Cnig_chr_III.g9980.t1	1877	2105	2289	1638	1341	1680	1684	1360	1649	1647	1476	1458
II.g6317.t1__Cnig_chr_II.g6740.t1	1301	1404	1496	663	619	709	1068	1225	1129	655	788	687
III.g7417.t2__Cnig_chr_III.g8342.t1	284	265	223	259	160	282	635	599	636	638	536	621
V.g16255.t1__Cnig_chr_V.g19267.t1	18712	18713	18065	20173	17596	17987	26558	24822	25733	26089	24818	27195
IV.g12843.t2__Cnig_chr_IV.g14896.t1	4327	5266	3383	2477	1154	3048	3775	4705	4472	2404	1842	2272
III.g7686.t1__Cnig_chr_III.g8633.t1	488	540	452	310	186	382	868	732	707	542	629	515
III.g10376.t1__Cnig_chr_III.g11853.t1	3485	2740	2096	2871	1688	2327	3006	3618	2978	1055	1188	1459
X.g21771.t1__Cnig_chr_X.g25832.t2	3297	1889	2472	4996	3038	4318	1926	1481	1778	3180	2716	2759
X.g20296.t3__Cnig_chr_X.g24167.t3	201	123	141	463	342	376	591	358	523	892	785	741
I.g1290.t1__Cnig_chr_I.g860.t1	2090	1457	2182	1328	1411	1188	936	942	888	925	748	812
IV.g12599.t1__Cnig_chr_IV.g14613.t1	2251	1506	1838	2476	1897	1897	4601	4546	4426	5059	3429	4635
V.g14336.t1__Cnig_chr_V.g16943.t1	195	238	165	462	294	428	315	260	308	476	486	409
IV.g12751.t1__Cnig_chr_IV.g14790.t2	20505	18736	21147	20287	16575	18403	20337	18745	19658	21105	22501	22068
V.g16655.t1__Cnig_chr_V.g19696.t1	100	87	61	361	370	269	198	136	178	428	408	369
X.g20754.t2__Cnig_chr_X.g24656.t1	4377	2411	2522	6730	5051	6103	229	1307	374	163	181	2032
X.g19456.t1__Cnig_chr_X.g23215.t2	157	115	118	143	110	128	170	129	128	185	239	192
V.g16295.t2__Cnig_chr_V.g19306.t3	72	58	50	112	86	95	81	96	62	108	106	72
III.g8645.t1__Cnig_chr_III.g9896.t1	3776	4312	3831	1903	1306	2001	3034	3753	3180	1883	2033	1963
II.g7157.t3__Cnig_chr_II.g8070.t2	4905	3869	4541	2903	2419	2989	5431	4736	5478	5003	4857	4175
X.g20309.t2__Cnig_chr_X.g24180.t1	325	323	215	668	413	470	1925	1617	1850	2069	1542	1630
V.g14520.t1__Cnig_chr_V.g17184.t1	1934	2515	2410	1159	867	1451	899	1016	1074	815	804	929
X.g19999.t1__Cnig_chr_X.g23859.t3	958	628	728	736	529	718	1159	1306	1070	1021	971	1019
II.g6390.t1__Cnig_chr_II.g6861.t1	1204	4374	1160	19470	18433	6880	111364	62593	101347	86837	56037	64421
X.g21862.t1__Cnig_chr_X.g25929.t3	993	833	691	2202	849	1369	3767	2632	3398	5200	3748	4155
V.g15991.t1__Cnig_chr_V.g18950.t1	1838	2017	1347	1448	899	1537	2577	2382	2779	2419	2058	2115
V.g14521.t1__Cnig_chr_V.g17185.t3	74	56	51	218	197	285	15	23	14	1318	2098	1531
I.g2085.t3__Cnig_chr_I.g1709.t1	742	804	580	3699	2978	2917	4104	4397	2941	2901	2696	2283
IV.g11763.t1__Cnig_chr_IV.g13897.t1	4780	3212	4178	1498	1651	1756	1864	1917	1896	1277	1410	1230
V.g16280.t1__Cnig_chr_V.g19287.t1	54	59	31	351	262	160	1145	512	1035	1214	983	761
V.g18517.t1__Cnig_chr_V.g21696.t1	1133	1178	1202	703	527	733	1067	1153	1068	590	952	632
II.g5447.t1__Cnig_chr_II.g5803.t1	70198	47128	56026	31104	29967	28362	48857	45158	46490	38667	34114	34541
IV.g12650.t1__Cnig_chr_IV.g14676.t1	3991	3995	3614	2875	1847	3198	1980	2100	2084	1921	1730	1868
V.g14358.t1__Cnig_chr_V.g16962.t1	15492	13776	10482	14875	7643	14836	15321	16465	16768	16717	13707	17619
II.g4527.t1__Cnig_chr_II.g4744.t1	850	951	763	469	355	632	658	675	688	480	584	532
