# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "transcript" "-a" "references/annotations/briggsae.chr.transcript.ortho.gff" "-o" "counts/Cbr_fc.counts.txt" "STAR/BAM/BF1_Cbr.bam" "STAR/BAM/BF2_Cbr.bam" "STAR/BAM/BF3_Cbr.bam" "STAR/BAM/BM1_Cbr.bam" "STAR/BAM/BM2_Cbr.bam" "STAR/BAM/BM3_Cbr.bam" 
Geneid	Chr	Start	End	Strand	Length	STAR/BAM/BF1_Cbr.bam	STAR/BAM/BF2_Cbr.bam	STAR/BAM/BF3_Cbr.bam	STAR/BAM/BM1_Cbr.bam	STAR/BAM/BM2_Cbr.bam	STAR/BAM/BM3_Cbr.bam
I.g907.t1	I	1441729	1448843	-	7115	571	691	642	428	256	456
IV.g11765.t1	IV	7445360	7450406	-	5047	4364	3916	2682	6070	1784	5671
X.g20969.t1	X	13622494	13623450	-	957	61	59	75	311	328	251
X.g20087.t2	X	8967979	8969303	-	1325	7960	4608	6187	4829	5190	4935
III.g8777.t1	III	6827091	6827841	+	751	84	207	134	957	912	382
I.g991.t1	I	1964922	1969035	-	4114	461	414	286	706	258	578
II.g5312.t1	II	7447918	7452136	+	4219	80	92	92	109	84	78
V.g15156.t1	V	5329903	5334169	+	4267	521	385	305	2783	1194	2825
III.g7915.t1	III	3099861	3102974	+	3114	411	384	468	737	367	712
I.g2925.t1	I	10086755	10087515	-	761	1761	1627	1803	2398	2226	2138
V.g15804.t1	V	8118281	8120455	+	2175	26	21	16	118	72	73
I.g2176.t3	I	7123534	7128768	-	5235	30	9	19	39	39	30
III.g10141.t1	III	13074274	13078811	+	4538	775	642	502	1170	447	1059
IV.g11439.t1	IV	6049477	6055281	-	5805	14	13	7	73	25	16
V.g18355.t2	V	18735489	18741153	-	5665	7077	6252	4605	13968	6165	10617
I.g1866.t1	I	5809250	5810134	+	885	3581	2455	2839	1449	1082	1475
I.g3562.t2	I	13368142	13375333	+	7192	3	0	0	4	1	5
X.g22018.t1	X	19359744	19360288	+	545	56	47	39	121	96	90
V.g16300.t2	V	10084969	10087202	+	2234	4255	2571	2742	2331	1626	2388
IV.g13767.t1	IV	17172616	17174946	+	2331	21	18	14	47	34	63
V.g15131.t1	V	5176968	5181399	+	4432	1075	1239	1192	731	428	853
IV.g13097.t1	IV	12819322	12823704	-	4383	2576	1290	1227	2958	783	2543
V.g16089.t1	V	9230863	9233378	-	2516	21	33	32	78	70	69
V.g13923.t1	V	230259	232679	+	2421	2201	1958	1650	2024	1409	2027
IV.g12493.t2	IV	10379586	10382392	-	2807	1806	1182	1207	1334	1105	1417
I.g1085.t1	I	2577918	2580242	+	2325	998	1256	880	759	601	844
V.g13918.t2	V	205016	208402	+	3387	19	13	14	43	21	40
III.g8063.t1	III	3863180	3864163	+	984	488	438	294	283	155	306
I.g1494.t1	I	4286779	4293024	-	6246	7434	6403	5091	9882	4205	9203
III.g8186.t1	III	4410002	4412313	-	2312	6529	6520	5023	3697	2093	4408
I.g2040.t1	I	6550592	6552306	+	1715	3336	3387	2545	1265	840	1670
I.g1001.t1	I	2079400	2086811	-	7412	4346	5199	3769	2145	979	2596
V.g16579.t1	V	11097869	11101476	-	3608	158	127	137	164	134	138
I.g1019.t2	I	2222569	2224770	+	2202	271	142	238	373	455	467
IV.g11031.t1	IV	3504300	3513504	+	9205	50	57	29	175	105	116
III.g7650.t1	III	1346091	1354416	-	8326	38	12	15	97	42	57
II.g6229.t1	II	11228436	11229992	+	1557	8	3	2	316	451	415
V.g17464.t1	V	14716352	14718515	+	2164	21	17	20	41	35	36
X.g22096.t1	X	19870896	19880805	-	9910	124	117	142	605	367	466
X.g19062.t1	X	2931262	2940619	+	9358	409	319	233	773	295	679
IV.g12476.t1	IV	10329978	10331590	+	1613	183	176	124	313	239	292
II.g6008.t1	II	10305452	10306109	-	658	64	40	68	25	17	25
X.g21984.t1	X	19219096	19220934	+	1839	595	397	532	1166	825	715
IV.g11875.t1	IV	7861431	7863261	-	1831	89	81	74	99	74	105
II.g4194.t3	II	1713533	1722292	-	8760	2062	1918	1584	3337	2063	2621
II.g5877.t1	II	9884243	9885418	+	1176	15019	10860	12825	13642	13292	14951
II.g4868.t1	II	5470875	5474247	+	3373	408	386	386	796	545	722
IV.g11520.t1	IV	6504802	6506693	+	1892	896	1146	843	502	209	746
II.g6200.t1	II	11077899	11080073	+	2175	355	228	219	607	469	467
II.g4008.t1	II	320181	322387	-	2207	37	41	33	99	76	100
I.g2644.t1	I	9000856	9002074	-	1219	4737	3178	4418	978	770	1231
I.g1351.t1	I	3768225	3769275	+	1051	7835	5827	8594	3658	2928	3949
I.g1092.t1	I	2613111	2620066	+	6956	620	691	524	827	620	688
IV.g12797.t1	IV	11556581	11560022	-	3442	28	13	23	80	60	96
III.g7652.t1	III	1374352	1375133	+	782	33	33	43	47	80	39
III.g8098.t1	III	4069809	4071508	-	1700	8135	8702	7134	8320	6135	9219
II.g5873.t1	II	9866308	9869308	-	3001	1413	994	820	819	607	951
X.g19927.t1	X	8077740	8078807	+	1068	9782	7026	9513	11383	9465	8981
I.g1435.t1	I	4102356	4103786	-	1431	3931	2854	3841	1876	1440	1969
I.g2242.t1	I	7451364	7452597	+	1234	6152	3961	3865	1889	1421	2181
X.g19988.t1	X	8404608	8409690	+	5083	169	162	125	615	327	413
II.g6396.t1	II	11962791	11965944	+	3154	1107	1229	862	676	351	776
III.g8983.t1	III	7607360	7610479	+	3120	587	407	276	840	359	735
IV.g13236.t2	IV	13537493	13539984	+	2492	3684	3991	3392	7408	5593	6682
II.g4077.t1	II	774005	778656	+	4652	30	30	37	42	30	37
IV.g10783.t1	IV	1959239	1961051	-	1813	6	4	5	5	9	1
III.g10180.t1	III	13342736	13348330	-	5595	52	27	29	127	70	107
I.g2835.t1	I	9687932	9691162	+	3231	1882	1367	1208	4025	3006	3962
V.g15937.t1	V	8630035	8634778	-	4744	414	309	463	404	402	333
V.g15224.t1	V	5688788	5696030	+	7243	1028	1088	741	1021	552	934
III.g8760.t1	III	6757689	6759000	+	1312	1692	1669	1820	1609	1050	1526
II.g6708.t3	II	13341246	13345026	+	3781	946	1308	914	768	544	790
I.g3913.t1	I	15377028	15378639	-	1612	1085	1307	1013	508	344	664
I.g3414.t1	I	12594360	12597305	+	2946	1037	952	1185	2217	2325	2065
II.g6089.t1	II	10635972	10638871	-	2900	782	668	384	1449	667	1044
I.g3116.t1	I	10990258	10991293	-	1036	6053	3805	5058	732	562	1319
II.g7302.t1	II	16307366	16308964	-	1599	193	174	200	352	438	171
I.g778.t1	I	547027	549848	+	2822	2784	2681	2584	2518	2300	2411
II.g5754.t1	II	9300567	9301578	+	1012	0	0	0	0	0	0
IV.g12010.t2	IV	8335977	8336960	-	984	1333	1658	1025	508	149	831
V.g16906.t1	V	12521831	12524554	+	2724	71	51	44	180	118	128
V.g16321.t1	V	10143814	10145013	-	1200	124	77	93	190	162	150
II.g5755.t1	II	9301851	9302569	+	719	0	0	0	0	0	0
II.g4475.t1	II	3478981	3480816	+	1836	11821	12787	9624	7875	4953	8881
V.g14070.t1	V	726447	728925	+	2479	1329	1118	873	1223	768	1120
III.g9430.t2	III	9431123	9434020	-	2898	116	136	66	640	258	194
III.g8978.t1	III	7590961	7591757	-	797	189	142	181	692	819	600
II.g5907.t1	II	9997426	9998758	-	1333	610	447	582	247	174	249
I.g997.t1	I	2057136	2063503	+	6368	58	50	35	173	85	148
II.g6453.t1	II	12278436	12279833	+	1398	844	538	619	4908	3544	4567
II.g5104.t3	II	6532413	6536239	-	3827	118	124	94	205	130	183
I.g2416.t2	I	8102296	8103556	-	1261	821	550	631	696	674	505
V.g17437.t1	V	14621508	14622403	-	896	608	378	420	1090	975	769
IV.g13854.t1	IV	17471188	17472114	-	927	6058	7991	7435	6675	6124	6362
V.g16181.t2	V	9625007	9626434	+	1428	179	147	148	275	188	242
II.g6142.t3	II	10858993	10862255	+	3263	466	476	591	1287	1451	591
I.g2830.t1	I	9669111	9672465	-	3355	35	69	52	67	50	49
X.g19914.t1	X	7989614	7990502	-	889	66	40	39	86	89	82
III.g7534.t2	III	636940	642568	+	5629	435	414	301	392	298	398
II.g5368.t1	II	7629180	7629591	+	412	3869	2959	6602	1197	2363	1325
IV.g12370.t3	IV	9826580	9828310	+	1731	2995	2413	2416	1768	1215	1769
I.g1685.t1	I	5106760	5107306	-	547	329	199	226	163	167	176
III.g10237.t1	III	13714326	13718716	-	4391	34	38	42	88	92	76
I.g2838.t3	I	9711717	9714944	+	3228	4018	4482	2563	3706	1776	4207
X.g19168.t3	X	3582073	3588476	+	6404	335	301	214	603	209	463
III.g9246.t1	III	8748510	8749738	+	1229	1373	1047	969	911	729	977
IV.g11421.t2	IV	5887368	5891267	-	3900	2	11	4	33	65	22
V.g14534.t1	V	2634781	2636994	-	2214	89	18	34	2833	2436	3089
IV.g13137.t1	IV	12999561	13000543	-	983	2306	1563	1884	1399	1173	1463
IV.g10775.t1	IV	1899952	1905135	-	5184	1	1	2	3	6	2
X.g18726.t2	X	946842	950490	+	3649	435	246	229	348	181	356
I.g3901.t1	I	15344158	15345449	-	1292	9	9	15	68	54	53
IV.g11211.t1	IV	4778823	4785240	-	6418	2867	2396	1493	3417	1353	2950
IV.g13301.t1	IV	14129353	14140924	-	11572	349	276	299	323	226	259
II.g5469.t1	II	8085424	8089129	+	3706	63	117	64	337	193	200
II.g5752.t2	II	9281924	9295752	-	13829	453	308	310	712	354	635
II.g6270.t1	II	11372731	11373093	-	363	2147	1557	1640	1041	975	1032
III.g10299.t1	III	14053510	14065026	-	11517	7694	6616	4817	13305	7833	10985
II.g4978.t1	II	5947350	5949142	-	1793	687	732	619	738	402	650
II.g6267.t2	II	11364205	11368842	-	4638	2682	2285	2147	1967	1379	1863
V.g17281.t1	V	14014163	14015159	+	997	1255	722	879	446	428	523
IV.g11529.t1	IV	6567203	6571850	-	4648	7421	6289	10415	10931	12855	9248
V.g16338.t1	V	10176174	10178310	-	2137	11	2	9	66	60	29
I.g3609.t1	I	13779761	13780410	+	650	11658	13099	10878	5980	5620	6354
III.g8685.t3	III	6439379	6442862	+	3484	2479	2495	1648	2993	1405	2975
II.g7383.t1	II	16545681	16546749	-	1069	3190	2127	2406	1683	1444	1830
IV.g10854.t1	IV	2253784	2254336	+	553	1	0	0	0	0	0
III.g7747.t2	III	1883259	1892984	-	9726	1070	612	477	1203	662	1040
II.g4141.t1	II	1339612	1345122	-	5511	2552	2929	1861	2626	1418	2679
V.g17351.t1	V	14207378	14207819	-	442	2487	1582	2027	547	512	763
I.g2719.t1	I	9254244	9257778	-	3535	5288	4214	4325	2361	1823	2793
III.g10348.t1	III	14236817	14239226	-	2410	444	361	349	740	457	528
IV.g13691.t1	IV	16838499	16840105	-	1607	94	125	76	622	439	135
IV.g11118.t3	IV	4128363	4132463	+	4101	11	6	13	54	46	54
I.g1935.t1	I	6083455	6084602	+	1148	101	56	92	116	95	128
IV.g12882.t2	IV	11869527	11872178	+	2652	34	32	36	46	39	26
IV.g11671.t1	IV	7149967	7151545	+	1579	1042	782	825	2311	2512	1239
V.g14166.t1	V	1156135	1156888	+	754	7713	4690	4640	3986	2930	4229
I.g1981.t2	I	6282925	6292813	+	9889	71	71	65	239	147	168
III.g8053.t1	III	3807412	3812110	-	4699	523	543	257	1695	918	1011
III.g9778.t1	III	10947279	10948728	+	1450	2961	3090	2667	1403	1025	1590
IV.g10469.t1	IV	208670	223207	+	14538	3503	4218	3162	3007	1768	3399
X.g20305.t2	X	10049891	10051390	-	1500	464	386	341	666	386	577
II.g5790.t1	II	9456342	9457384	-	1043	123	121	99	273	224	269
III.g8122.t1	III	4135097	4140951	-	5855	8780	7947	4691	7632	2722	7716
X.g21092.t1	X	14367966	14372107	+	4142	2125	1412	1208	2453	933	2703
IV.g12895.t1	IV	11927519	11930839	-	3321	107	117	133	338	229	228
III.g8528.t1	III	5814791	5816362	+	1572	2503	2163	1875	3294	2105	2416
III.g8555.t1	III	5966487	5967145	+	659	2382	2339	1955	1655	1315	1682
IV.g12636.t2	IV	10856580	10858117	-	1538	14620	11304	10753	8059	6676	7722
III.g8275.t1	III	4786602	4790074	+	3473	542	485	700	601	664	496
V.g14162.t2	V	1141042	1142414	+	1373	11	117	18	431	335	209
II.g6455.t2	II	12281935	12286154	+	4220	17	18	8	26	22	22
X.g20276.t1	X	9899375	9900243	-	869	458	420	493	1045	1185	947
III.g9415.t1	III	9381944	9385191	+	3248	121	92	113	311	225	219
V.g15541.t2	V	7151785	7155753	+	3969	1032	1279	840	1529	1670	1778
X.g18684.t1	X	717329	722936	-	5608	880	713	496	1211	494	1059
I.g2639.t2	I	8972892	8976638	+	3747	7509	8747	7859	5341	4890	5504
X.g20138.t2	X	9283372	9284419	-	1048	9	52	13	143	178	79
III.g7692.t1	III	1567729	1569377	+	1649	384	245	256	2167	1994	2019
II.g5182.t1	II	6912610	6913183	-	574	10450	7507	17290	6206	8495	6148
I.g3100.t2	I	10899972	10905434	-	5463	604	522	391	1282	627	1019
V.g13973.t1	V	383584	384244	-	661	1250	678	938	1563	1641	1407
X.g20844.t1	X	12893517	12894293	-	777	17	15	12	120	102	74
IV.g12315.t1	IV	9635182	9636569	-	1388	9	15	11	57	54	33
V.g16356.t1	V	10268624	10270172	+	1549	122	95	90	117	78	122
III.g7425.t1	III	144931	147454	+	2524	1156	1269	892	1718	839	1470
X.g21458.t2	X	16317062	16319654	-	2593	318	340	335	717	726	663
IV.g10896.t2	IV	2535952	2549112	+	13161	1662	1722	1095	2641	1074	2497
II.g6457.t1	II	12291413	12292616	+	1204	1220	891	870	8250	7690	6953
III.g9168.t1	III	8459724	8461173	-	1450	3880	3753	8839	2006	1947	1948
II.g5192.t1	II	6942845	6943987	-	1143	2709	2007	2625	2006	1985	1645
I.g1922.t1	I	6020814	6022386	-	1573	181	97	119	66	44	66
X.g20410.t1	X	10631189	10633176	+	1988	0	0	0	0	0	0
X.g19578.t1	X	5968168	5969748	-	1581	2768	1868	2583	919	984	668
II.g5657.t1	II	8817978	8819796	+	1819	37	96	38	609	843	165
X.g20243.t2	X	9694273	9700838	+	6566	53	39	38	126	40	96
III.g9395.t1	III	9300599	9302290	-	1692	1953	1278	1374	1388	900	1431
V.g17358.t1	V	14228893	14229589	-	697	121	63	79	208	215	204
IV.g13466.t1	IV	15322297	15328807	+	6511	26	13	19	67	48	42
I.g1649.t1	I	4929062	4930719	+	1658	1947	1983	1503	7871	5106	7214
V.g15522.t3	V	7062970	7063881	-	912	0	0	0	1	0	1
II.g4444.t1	II	3344405	3347122	+	2718	3077	3073	2029	1713	423	2222
I.g1120.t1	I	2780513	2781838	-	1326	2885	2105	2731	1285	1396	1457
II.g5448.t1	II	7980083	7981893	+	1811	19941	16092	20291	16524	11697	15485
II.g5076.t1	II	6420441	6422326	-	1886	93	131	60	847	954	131
V.g16642.t1	V	11425680	11429410	-	3731	13993	8646	11683	5750	4902	7403
IV.g12208.t1	IV	9134064	9135581	+	1518	3678	2371	2867	1689	1178	1947
IV.g13178.t1	IV	13301364	13306312	+	4949	122	109	95	82	46	70
IV.g12126.t1	IV	8780975	8784253	-	3279	63	39	40	124	96	112
V.g17378.t1	V	14359791	14360354	-	564	130	74	87	1430	1448	1057
III.g9697.t1	III	10615383	10622551	+	7169	260	278	170	895	553	706
III.g8550.t1	III	5943017	5944375	+	1359	2206	2373	1542	1019	566	1366
V.g16228.t1	V	9792802	9794401	-	1600	4874	3289	2927	2064	931	2499
I.g1280.t1	I	3470697	3471180	+	484	1581	1065	1439	871	1061	856
IV.g13763.t1	IV	17143569	17146471	+	2903	60	50	59	138	119	98
X.g19663.t1	X	6548172	6548957	+	786	14	14	2	101	114	20
X.g19405.t1	X	5007741	5016533	+	8793	8323	13134	7987	19681	10184	16565
I.g2456.t3	I	8215273	8217255	-	1983	2977	3275	2878	4470	3086	4569
I.g2052.t1	I	6569484	6573561	-	4078	3430	2790	1918	2197	1040	2503
IV.g10583.t1	IV	636713	638771	+	2059	1	2	1	0	0	1
IV.g12450.t2	IV	10206429	10217161	+	10733	436	320	185	1368	532	1186
X.g20110.t2	X	9124413	9126299	+	1887	87	62	56	194	90	139
III.g10207.t1	III	13485435	13488239	-	2805	157	212	285	444	548	337
III.g9245.t1	III	8746785	8747821	+	1037	3273	3236	2870	3302	1896	3179
I.g2888.t3	I	9876331	9882153	-	5823	1529	1441	806	1563	443	1707
IV.g13347.t1	IV	14484972	14486228	+	1257	20	20	36	15	26	15
III.g7493.t1	III	452497	453876	-	1380	1290	887	1223	648	641	767
III.g8951.t1	III	7492574	7494327	-	1754	1033	845	761	1674	1299	1312
IV.g12217.t1	IV	9175431	9176247	+	817	4	45	10	116	82	50
I.g2244.t1	I	7456407	7457165	+	759	61970	68951	58646	46641	41091	41464
III.g8853.t1	III	7148730	7149466	+	737	254	181	290	298	258	282
I.g1403.t1	I	3979528	3982903	+	3376	2654	2169	2341	1523	1144	1524
X.g18707.t1	X	830677	831871	+	1195	199	147	176	317	179	240
III.g8545.t1	III	5925915	5927363	+	1449	1292	835	918	2465	1894	2219
IV.g11924.t1	IV	8038211	8038705	+	495	2093	1438	1820	1030	947	1077
V.g17339.t1	V	14178907	14181809	+	2903	11	6	11	49	25	33
V.g16751.t3	V	11833133	11840709	-	7577	28	43	18	261	159	32
IV.g12785.t1	IV	11499799	11501777	-	1979	765	617	648	993	793	693
IV.g12624.t1	IV	10793129	10794966	+	1838	4749	3734	3697	4030	2702	4097
X.g18700.t2	X	799947	802709	+	2763	28	58	36	284	247	71
X.g18730.t1	X	980335	982766	+	2432	513	396	244	1100	474	959
II.g5838.t1	II	9670912	9671837	+	926	1271	1072	995	503	408	573
I.g3809.t3	I	14860989	14865201	+	4213	4715	5166	11077	3045	4571	2979
II.g7357.t1	II	16458816	16459882	+	1067	2635	2425	1948	1991	827	2010
V.g15985.t1	V	8809202	8810123	+	922	0	0	0	0	0	0
III.g7786.t1	III	2162034	2162481	+	448	381	362	501	180	196	153
IV.g11797.t1	IV	7560221	7562118	+	1898	254	159	168	1887	1322	1616
V.g16459.t2	V	10680887	10683908	+	3022	538	582	651	363	523	410
II.g6370.t2	II	11848268	11850884	+	2617	129	108	97	128	88	100
III.g7553.t3	III	742855	747591	+	4737	5	32	8	61	71	41
X.g21867.t1	X	18583600	18586679	-	3080	6067	5303	4150	16826	11760	14093
X.g19731.t3	X	6999454	7013940	+	14487	550	378	364	826	441	749
I.g1738.t1	I	5341981	5344704	+	2724	5924	6009	3877	2939	905	3366
I.g1953.t2	I	6154921	6156393	+	1473	2906	3144	2365	2048	930	2166
I.g3684.t1	I	14273534	14275673	-	2140	1876	1469	1798	1124	907	1100
V.g15879.t1	V	8374657	8379357	-	4701	140	142	151	230	287	273
X.g20676.t3	X	12053390	12058827	+	5438	628	513	413	1306	746	1084
III.g9051.t1	III	7938614	7940325	-	1712	1868	1798	1503	1310	941	1404
IV.g12204.t1	IV	9120798	9121113	-	316	708	528	615	671	734	562
III.g8914.t1	III	7318637	7324306	-	5670	2709	2455	1288	3865	543	3373
I.g2612.t1	I	8882768	8885358	+	2591	98	86	50	179	101	164
II.g5414.t1	II	7821699	7822504	-	806	1128	799	1094	381	272	451
IV.g12338.t1	IV	9715919	9718574	+	2656	3284	2822	2912	6837	7130	6357
III.g8850.t1	III	7132718	7141802	+	9085	239	165	151	934	402	763
IV.g12545.t1	IV	10512994	10513959	-	966	490	392	360	510	405	485
I.g2704.t1	I	9214611	9215520	+	910	668	353	332	2879	2540	2837
I.g2977.t1	I	10331521	10335265	-	3745	746	506	400	4348	2616	3899
IV.g11412.t1	IV	5858969	5860471	+	1503	2366	2895	1982	1562	1062	1830
I.g3286.t2	I	11787201	11794544	+	7344	77	99	56	311	151	173
III.g7681.t1	III	1518404	1519545	-	1142	3001	2641	3406	2851	2483	2762
I.g2295.t1	I	7650674	7652409	+	1736	2228	1553	1943	1543	1199	1338
II.g4720.t1	II	4706777	4708503	+	1727	22	38	67	104	93	39
X.g18710.t1	X	852082	856256	-	4175	675	553	403	1039	318	900
X.g21689.t2	X	17495782	17501332	-	5551	1826	1254	1305	1938	1097	2325
IV.g10998.t1	IV	3299987	3300954	-	968	639	453	567	228	141	285
IV.g13792.t1	IV	17266097	17266842	-	746	6794	6150	6643	6652	6632	7031
III.g7525.t2	III	607873	608850	+	978	4610	3110	3728	2845	2720	2739
III.g8981.t1	III	7597633	7603521	+	5889	702	496	542	806	644	736
X.g21395.t3	X	16004390	16014234	+	9845	217	200	131	401	213	303
III.g8791.t1	III	6878403	6883288	-	4886	4134	3217	2711	2009	1390	2446
IV.g12712.t2	IV	11176278	11179318	-	3041	105	89	102	157	249	112
IV.g11465.t1	IV	6163917	6165170	+	1254	3861	3365	2789	2490	1743	2732
IV.g12543.t3	IV	10509546	10511428	+	1883	8727	7772	7614	1117	569	2280
IV.g11752.t1	IV	7400772	7403842	-	3071	74	58	55	49	30	46
I.g3673.t2	I	14222194	14228421	-	6228	2708	2977	2067	4185	1864	3724
IV.g13760.t1	IV	17139642	17140448	+	807	3987	2607	3114	3224	2794	3027
IV.g13522.t2	IV	15755640	15761455	-	5816	0	0	0	0	0	0
III.g8409.t2	III	5361688	5368679	-	6992	2715	2744	1959	4033	1537	3061
V.g15229.t3	V	5718529	5726382	+	7854	4852	5803	3598	4427	2046	4460
X.g20896.t1	X	13117210	13118551	-	1342	220	192	230	194	282	230
I.g3030.t1	I	10578109	10582237	-	4129	43	74	32	520	192	211
IV.g13768.t1	IV	17175052	17175538	-	487	60	130	59	429	389	163
V.g14133.t3	V	982918	991855	-	8938	270	215	334	544	421	396
II.g6279.t1	II	11415955	11419923	+	3969	2293	2224	1137	1321	605	1579
II.g5491.t1	II	8190597	8193452	-	2856	52	33	37	196	101	147
V.g16374.t3	V	10322751	10325272	+	2522	2564	2468	1708	4221	1322	4024
IV.g10710.t1	IV	1572565	1574804	+	2240	2365	1813	2045	1062	676	1149
I.g2281.t3	I	7587466	7588318	-	853	3274	1994	2545	1279	1198	1469
I.g1957.t1	I	6162539	6163358	+	820	4681	2858	3444	1025	913	1405
IV.g13572.t1	IV	16076747	16092520	-	15774	347	237	200	362	177	292
I.g1933.t2	I	6070549	6077403	+	6855	1145	1184	469	1237	506	1240
II.g4330.t1	II	2791490	2792610	-	1121	1059	828	1188	664	587	627
IV.g10759.t1	IV	1821112	1828848	+	7737	14336	16212	13551	16135	10440	14031
X.g21509.t1	X	16583017	16590440	-	7424	1691	1546	978	2603	969	2185
III.g9214.t1	III	8642762	8645059	-	2298	5235	5622	3327	7283	2007	6817
IV.g13066.t1	IV	12677354	12680792	+	3439	3863	3339	2793	8815	6218	7552
IV.g12058.t1	IV	8530621	8532353	+	1733	118	92	100	120	109	108
IV.g12263.t1	IV	9362522	9364969	+	2448	8363	5338	7117	667	327	1690
III.g7563.t3	III	846757	853889	-	7133	2334	1903	1485	2395	1497	2099
X.g19153.t2	X	3478152	3481235	-	3084	200	201	190	410	247	282
X.g20007.t1	X	8506887	8508797	-	1911	187	140	173	278	147	232
V.g17783.t1	V	15908096	15911441	+	3346	2	1	1	7	5	13
IV.g13537.t1	IV	15808864	15810623	+	1760	36646	37980	39091	4968	3328	10897
IV.g13777.t1	IV	17204495	17205200	+	706	238	131	197	271	346	318
III.g10032.t1	III	12440501	12440971	-	471	1380	1773	2369	1428	1750	1476
I.g911.t1	I	1489867	1493281	-	3415	30	31	16	96	59	20
X.g19368.t2	X	4759313	4763376	-	4064	274	153	80	406	52	366
I.g2792.t1	I	9512276	9515475	+	3200	3823	2456	3161	4460	3531	3468
I.g2305.t1	I	7672047	7673898	+	1852	2429	1701	1881	815	613	966
I.g3909.t1	I	15365745	15367412	-	1668	63	53	54	124	70	89
X.g19536.t1	X	5716795	5718290	-	1496	75	54	37	538	468	123
IV.g10537.t3	IV	439577	442934	+	3358	9204	8949	11625	6895	8088	6058
V.g17345.t1	V	14197013	14198211	+	1199	17118	21067	17130	10446	8475	10635
III.g10086.t1	III	12758273	12759723	+	1451	971	1142	1948	422	687	460
X.g20606.t1	X	11742811	11744311	+	1501	2732	2512	1825	4254	2949	4758
III.g7803.t1	III	2339643	2340599	-	957	1347	1483	3981	563	924	642
V.g17401.t1	V	14430565	14431494	-	930	37	20	21	177	188	127
V.g17048.t1	V	13036096	13036428	+	333	1522	1260	2123	1656	2014	1851
IV.g11291.t1	IV	5160931	5161434	+	504	2276	1510	1941	2099	2142	1946
V.g14313.t1	V	1657927	1661259	-	3333	3579	3402	1746	2425	1063	2742
V.g16960.t1	V	12761181	12769741	+	8561	803	662	434	737	440	658
X.g20619.t1	X	11798978	11801646	-	2669	564	238	379	708	678	833
X.g20255.t3	X	9780457	9790529	-	10073	930	654	467	1424	664	1068
I.g2359.t1	I	7905913	7907398	-	1486	8	6	11	35	16	25
X.g20517.t1	X	11269928	11272717	+	2790	81	61	47	44	26	47
V.g16345.t1	V	10241896	10242940	+	1045	2488	2853	2168	1290	877	1504
II.g5439.t1	II	7936515	7937895	-	1381	5115	5044	6392	5657	5411	5098
I.g3716.t1	I	14422083	14422895	-	813	2462	1923	3559	1046	1273	1120
I.g1549.t1	I	4487558	4488533	+	976	948	838	924	448	424	583
III.g9204.t1	III	8613722	8614353	+	632	1599	1496	1528	742	660	882
I.g944.t1	I	1697745	1704587	+	6843	47	46	36	34	15	27
X.g20787.t1	X	12581990	12584157	+	2168	4	3	5	12	2	12
V.g15521.t2	V	7059085	7062862	+	3778	981	682	1337	1032	1056	1006
II.g4202.t1	II	1782901	1787276	+	4376	6	2	1	19	17	20
II.g4358.t2	II	2919883	2921402	+	1520	32	45	65	139	152	99
IV.g10456.t3	IV	133233	137051	-	3819	364	208	415	301	294	225
X.g20440.t1	X	10767028	10792500	+	25473	415	321	219	332	121	294
V.g18439.t1	V	19112789	19114195	+	1407	5	9	3	32	17	9
IV.g12825.t1	IV	11683263	11685994	+	2732	343	243	210	615	421	628
II.g6389.t1	II	11925873	11928712	+	2840	5682	5292	3898	3320	1927	3974
X.g19054.t1	X	2902462	2905983	-	3522	22	19	14	97	54	33
V.g17292.t2	V	14059136	14060151	+	1016	2487	2023	1967	2222	1802	2422
X.g19676.t2	X	6640562	6642255	-	1694	262	268	284	300	245	271
IV.g12272.t1	IV	9410267	9411022	-	756	1309	996	1448	712	596	705
II.g4022.t1	II	397606	400491	-	2886	4816	5167	3349	5873	3064	6031
III.g8285.t1	III	4838287	4843589	+	5303	1415	897	761	5363	2967	4083
V.g17277.t1	V	13993105	13996520	-	3416	115	72	63	246	132	227
II.g6352.t3	II	11733245	11736992	+	3748	5503	4950	4285	3118	2139	3446
I.g2089.t2	I	6744350	6747184	-	2835	4247	4570	2790	3031	1567	3425
III.g8027.t1	III	3728604	3729464	+	861	41300	52040	49688	31624	33691	28621
II.g6318.t1	II	11581680	11582601	+	922	1763	2382	1820	781	609	1067
IV.g13089.t1	IV	12781866	12783429	-	1564	172	160	216	558	535	531
V.g14315.t1	V	1666775	1672094	+	5320	36765	24156	29361	17112	13446	15858
V.g15887.t1	V	8430667	8431980	-	1314	211	157	192	525	272	344
I.g2665.t1	I	9062638	9066253	-	3616	3364	2758	1821	2645	1120	2627
IV.g11798.t1	IV	7563403	7563904	+	502	354	377	338	1194	1126	809
V.g16004.t1	V	8884221	8884944	+	724	456	271	349	387	538	464
IV.g11939.t1	IV	8091417	8091897	-	481	523	380	518	7262	6886	5491
III.g8451.t1	III	5554288	5555677	-	1390	2911	2017	3401	1832	1626	2109
II.g6172.t1	II	10934890	10937831	+	2942	21	53	37	218	211	37
II.g4885.t1	II	5556167	5559479	+	3313	971	594	510	2477	1433	1505
X.g20253.t3	X	9757505	9763491	-	5987	989	654	464	1393	469	1264
