# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "transcript" "-a" "references/annotations/nigoni.chr.transcript.ortho.gff" "-o" "counts/Cni_fc.counts.txt" "STAR/BAM/9F1_Cni.bam" "STAR/BAM/9F2_Cni.bam" "STAR/BAM/9F3_Cni.bam" "STAR/BAM/9M1_Cni.bam" "STAR/BAM/9M2_Cni.bam" "STAR/BAM/9M3_Cni.bam" 
Geneid	Chr	Start	End	Strand	Length	STAR/BAM/9F1_Cni.bam	STAR/BAM/9F2_Cni.bam	STAR/BAM/9F3_Cni.bam	STAR/BAM/9M1_Cni.bam	STAR/BAM/9M2_Cni.bam	STAR/BAM/9M3_Cni.bam
Cnig_chr_IV.g13932.t1	Cnig_chr_IV	9504597	9505235	-	639	14438	14289	14728	15288	13377	15120
Cnig_chr_I.g1163.t1	Cnig_chr_I	5346787	5352944	-	6158	6941	6897	7386	5854	3683	5290
Cnig_chr_III.g11073.t2	Cnig_chr_III	11242356	11249676	-	7321	1537	1579	1869	1792	1532	1993
Cnig_chr_II.g4006.t1	Cnig_chr_II	184559	185791	-	1233	2990	2449	2664	2462	2479	2026
Cnig_chr_II.g6438.t1	Cnig_chr_II	11450875	11453659	-	2785	9	9	13	18	27	26
Cnig_chr_IV.g12711.t2	Cnig_chr_IV	3620337	3629022	-	8686	1274	1511	1078	534	530	668
Cnig_chr_III.g10601.t1	Cnig_chr_III	9585645	9587228	-	1584	1263	1617	1528	824	890	933
Cnig_chr_IV.g14034.t2	Cnig_chr_IV	9836625	9838832	+	2208	2990	3183	3462	1752	1500	1670
Cnig_chr_IV.g13111.t1	Cnig_chr_IV	5848025	5848409	-	385	4620	4152	4364	4428	4751	4236
Cnig_chr_I.g2194.t1	Cnig_chr_I	9280455	9281012	+	558	68918	63440	66094	58179	53991	53635
Cnig_chr_I.g357.t3	Cnig_chr_I	1780036	1791362	-	11327	606	651	584	851	558	682
Cnig_chr_III.g10602.t1	Cnig_chr_III	9587778	9589606	-	1829	588	405	533	950	932	781
Cnig_chr_X.g25529.t1	Cnig_chr_X	17628092	17629994	+	1903	3154	4761	4089	808	827	828
Cnig_chr_X.g25528.t3	Cnig_chr_X	17624157	17626728	+	2572	2053	3441	2836	574	481	542
Cnig_chr_I.g1129.t1	Cnig_chr_I	5228531	5231133	+	2603	1583	1731	1883	1836	1750	1734
Cnig_chr_III.g10482.t2	Cnig_chr_III	9128275	9133938	-	5664	1990	2734	1917	2010	1818	2033
Cnig_chr_I.g2397.t1	Cnig_chr_I	9913631	9914424	-	794	2183	1635	2108	2400	3355	1778
Cnig_chr_III.g10814.t1	Cnig_chr_III	10237830	10238840	-	1011	1568	1883	1710	1327	1243	1282
Cnig_chr_V.g19972.t1	Cnig_chr_V	13895588	13896528	-	941	969	1214	1147	770	798	835
Cnig_chr_III.g10813.t1	Cnig_chr_III	10236116	10237657	-	1542	1224	1273	1287	1193	1128	1135
Cnig_chr_III.g9982.t1	Cnig_chr_III	7284091	7286653	-	2563	12317	13810	16891	14854	12233	16848
Cnig_chr_V.g21675.t2	Cnig_chr_V	19799175	19804574	-	5400	2044	892	1789	4127	4010	2929
Cnig_chr_IV.g14500.t1	Cnig_chr_IV	11607063	11608348	+	1286	4	2	1	19	10	10
Cnig_chr_IV.g14458.t1	Cnig_chr_IV	11487864	11491304	-	3441	441	206	255	557	578	393
Cnig_chr_II.g6645.t4	Cnig_chr_II	12231169	12234106	+	2938	14602	8044	12103	17538	19852	20284
Cnig_chr_II.g4065.t2	Cnig_chr_II	399680	406291	+	6612	1318	1398	1546	1892	1323	2155
Cnig_chr_I.g1902.t1	Cnig_chr_I	8206876	8208981	-	2106	154	134	141	548	568	479
Cnig_chr_V.g17430.t1	Cnig_chr_V	4251376	4253194	+	1819	139	49	201	62	93	82
Cnig_chr_I.g1903.t1	Cnig_chr_I	8211817	8212608	+	792	6195	5805	6268	6647	6700	6508
Cnig_chr_X.g24465.t2	Cnig_chr_X	12248146	12250850	+	2705	577	633	604	28	52	29
Cnig_chr_I.g154.t4	Cnig_chr_I	760831	783091	+	22261	6051	5433	6316	5830	3865	4468
Cnig_chr_X.g25545.t2	Cnig_chr_X	17713240	17717072	+	3833	1978	1851	1834	3341	2705	2768
Cnig_chr_III.g11726.t1	Cnig_chr_III	14535840	14536573	+	734	6	5	2	2	13	3
Cnig_chr_V.g20226.t1	Cnig_chr_V	14819944	14821856	+	1913	1996	2135	2142	1885	1587	1837
Cnig_chr_II.g6508.t2	Cnig_chr_II	11701609	11706511	-	4903	3609	3534	4208	3686	3450	3557
Cnig_chr_III.g9174.t1	Cnig_chr_III	4197067	4198230	+	1164	61	93	68	86	114	109
Cnig_chr_I.g1344.t1	Cnig_chr_I	6137479	6139185	-	1707	1476	1460	1687	1757	1556	1511
Cnig_chr_IV.g14978.t1	Cnig_chr_IV	13430540	13431950	+	1411	2064	2017	2289	2072	2133	1773
Cnig_chr_V.g19576.t3	Cnig_chr_V	12278096	12284420	+	6325	1752	1097	1401	2095	1639	1549
Cnig_chr_V.g19817.t1	Cnig_chr_V	13282896	13284513	-	1618	189	146	126	106	128	121
Cnig_chr_III.g8346.t1	Cnig_chr_III	50822	52450	+	1629	612	557	489	520	630	502
Cnig_chr_V.g19938.t2	Cnig_chr_V	13748322	13749168	+	847	4600	5083	4418	4307	5789	4540
Cnig_chr_II.g6364.t3	Cnig_chr_II	11144287	11146556	-	2270	2475	2904	2993	3172	2617	4130
Cnig_chr_III.g10293.t1	Cnig_chr_III	8534554	8535709	-	1156	3236	1626	2764	3729	2601	2474
Cnig_chr_I.g658.t2	Cnig_chr_I	3442450	3456186	-	13737	965	757	821	1174	911	878
Cnig_chr_I.g429.t1	Cnig_chr_I	2322707	2324089	+	1383	2205	1982	2110	2401	2590	2502
Cnig_chr_V.g20345.t1	Cnig_chr_V	15262795	15265170	-	2376	617	717	775	468	397	490
Cnig_chr_IV.g14382.t1	Cnig_chr_IV	11183416	11184885	+	1470	1207	1420	1359	1006	852	1030
Cnig_chr_V.g21011.t1	Cnig_chr_V	17495063	17497282	+	2220	64230	49379	67198	76309	57982	61874
Cnig_chr_X.g25659.t2	Cnig_chr_X	18321427	18327928	+	6502	447	526	443	373	298	404
Cnig_chr_V.g18534.t1	Cnig_chr_V	8618034	8623564	+	5531	2889	2781	3042	3016	2029	1997
Cnig_chr_I.g1673.t1	Cnig_chr_I	7280299	7285676	-	5378	147	196	119	219	182	284
Cnig_chr_II.g4330.t2	Cnig_chr_II	2185526	2191407	-	5882	11087	4716	7475	11717	7454	7357
Cnig_chr_I.g3763.t1	Cnig_chr_I	15832745	15836119	-	3375	644	730	737	552	469	533
Cnig_chr_V.g19022.t2	Cnig_chr_V	10353285	10357197	-	3913	210	113	136	521	532	389
Cnig_chr_I.g2077.t2	Cnig_chr_I	8853793	8854901	+	1109	1610	1574	1604	1728	1621	1682
Cnig_chr_II.g4472.t3	Cnig_chr_II	2909852	2915713	+	5862	838	418	764	1448	1239	1074
Cnig_chr_II.g6779.t1	Cnig_chr_II	12765564	12767008	-	1445	79	79	43	132	98	120
Cnig_chr_II.g6780.t2	Cnig_chr_II	12771297	12775823	-	4527	15	13	10	26	26	17
Cnig_chr_II.g6379.t1	Cnig_chr_II	11198012	11198764	-	753	557	538	837	414	385	502
Cnig_chr_II.g6476.t1	Cnig_chr_II	11599888	11601535	+	1648	2612	2772	2811	2114	1861	1885
Cnig_chr_V.g18341.t1	Cnig_chr_V	7809401	7811767	-	2367	3886	3867	4261	3363	3295	3294
Cnig_chr_X.g24714.t1	Cnig_chr_X	13443146	13453099	-	9954	1180	878	1099	1903	1256	1354
Cnig_chr_I.g1584.t3	Cnig_chr_I	6923240	6924758	+	1519	2114	2136	2023	2330	2978	2469
Cnig_chr_III.g11288.t2	Cnig_chr_III	12213753	12226874	-	13122	2905	3107	2788	2398	2188	2216
Cnig_chr_I.g3930.t2	Cnig_chr_I	16622263	16625407	+	3145	1999	2049	1943	2115	1834	2437
Cnig_chr_X.g23185.t3	Cnig_chr_X	5491280	5506933	+	15654	1703	1474	1390	976	652	747
Cnig_chr_IV.g15717.t1	Cnig_chr_IV	17515946	17520826	-	4881	13385	12484	13176	12295	17978	12926
Cnig_chr_I.g2583.t1	Cnig_chr_I	10639445	10643796	-	4352	3909	4292	4442	3755	2572	3484
Cnig_chr_I.g433.t1	Cnig_chr_I	2341901	2348234	+	6334	1236	832	1392	2440	2056	2269
Cnig_chr_V.g19326.t1	Cnig_chr_V	11429629	11430342	-	714	147	102	129	236	242	212
Cnig_chr_II.g5759.t1	Cnig_chr_II	8689553	8692736	+	3184	2111	2007	2258	1785	1417	1400
Cnig_chr_X.g24345.t1	Cnig_chr_X	11630466	11631945	-	1480	24	18	22	16	9	8
Cnig_chr_III.g9988.t1	Cnig_chr_III	7331604	7333402	-	1799	1132	1215	1349	1082	790	1078
Cnig_chr_III.g10456.t1	Cnig_chr_III	9047806	9052403	+	4598	311	222	247	182	137	134
Cnig_chr_II.g6885.t2	Cnig_chr_II	13235069	13243813	+	8745	575	403	515	969	972	729
Cnig_chr_II.g4751.t2	Cnig_chr_II	4325014	4326455	-	1442	756	1056	880	929	768	1002
Cnig_chr_I.g3427.t1	Cnig_chr_I	14131711	14133839	-	2129	218	215	253	871	1058	1085
Cnig_chr_I.g2256.t1	Cnig_chr_I	9468709	9471965	+	3257	3585	4474	4228	2615	2121	2513
Cnig_chr_V.g18607.t1	Cnig_chr_V	8874373	8877455	+	3083	293	214	198	367	343	282
Cnig_chr_IV.g15954.t1	Cnig_chr_IV	18911846	18914900	-	3055	1561	1232	1323	1682	1486	1370
Cnig_chr_X.g22705.t2	Cnig_chr_X	2744269	2747504	+	3236	249	410	294	194	194	246
Cnig_chr_X.g24298.t1	Cnig_chr_X	11359596	11361317	+	1722	364	327	363	360	378	433
Cnig_chr_II.g8194.t3	Cnig_chr_II	18667781	18669834	-	2054	321	322	275	300	279	315
Cnig_chr_III.g11703.t1	Cnig_chr_III	14424780	14429870	-	5091	1510	951	1086	1856	1820	1331
Cnig_chr_X.g24299.t3	Cnig_chr_X	11361525	11362147	+	623	63	50	66	85	117	145
Cnig_chr_I.g1862.t1	Cnig_chr_I	8076056	8077547	-	1492	2128	1698	1691	3158	3052	2738
Cnig_chr_X.g25803.t1	Cnig_chr_X	19085872	19088265	+	2394	5460	3431	4694	4758	4477	3911
Cnig_chr_I.g1825.t1	Cnig_chr_I	7976833	7977485	-	653	159	153	208	209	389	306
Cnig_chr_IV.g14474.t1	Cnig_chr_IV	11528758	11530144	+	1387	2960	4145	3357	2315	2671	4961
Cnig_chr_I.g1416.t1	Cnig_chr_I	6374979	6379524	-	4546	5010	5399	5773	3916	2878	3782
Cnig_chr_I.g2628.t1	Cnig_chr_I	10818672	10820017	-	1346	1236	1175	1171	1275	1260	1207
Cnig_chr_I.g766.t1	Cnig_chr_I	3796633	3796890	+	258	248	255	245	207	330	213
Cnig_chr_V.g18688.t1	Cnig_chr_V	9162774	9164751	-	1978	38	41	20	27	32	29
Cnig_chr_I.g1834.t2	Cnig_chr_I	7992828	7996176	-	3349	1020	736	855	1122	1107	931
Cnig_chr_II.g6213.t2	Cnig_chr_II	10586518	10591055	+	4538	3418	2853	3039	4081	3265	4135
Cnig_chr_V.g18689.t1	Cnig_chr_V	9166562	9168110	-	1549	6	3	1	8	5	7
Cnig_chr_III.g10943.t1	Cnig_chr_III	10798379	10805281	-	6903	506	262	396	687	452	478
Cnig_chr_I.g2661.t2	Cnig_chr_I	10976141	10982271	-	6131	1462	646	1035	1925	1522	1489
Cnig_chr_II.g4000.t1	Cnig_chr_II	155378	157988	-	2611	4403	4765	4879	2154	1766	2178
Cnig_chr_I.g1563.t1	Cnig_chr_I	6815103	6815787	-	685	5	5	2	611	503	940
Cnig_chr_V.g20184.t1	Cnig_chr_V	14636710	14638129	+	1420	45	38	80	564	477	838
Cnig_chr_II.g4952.t3	Cnig_chr_II	5203464	5208927	+	5464	1483	1218	1415	1771	1773	1853
Cnig_chr_V.g19423.t1	Cnig_chr_V	11775491	11777790	-	2300	1188	2909	1479	1530	2494	2780
Cnig_chr_IV.g14141.t1	Cnig_chr_IV	10287432	10288789	-	1358	676	616	661	1021	814	1055
Cnig_chr_IV.g13529.t2	Cnig_chr_IV	8059177	8060860	+	1684	573	620	593	564	588	538
Cnig_chr_II.g5814.t1	Cnig_chr_II	8938164	8939938	-	1775	2496	2747	2819	1979	1791	1910
Cnig_chr_III.g10416.t1	Cnig_chr_III	8873791	8881234	+	7444	1505	1490	1455	3798	2754	3106
Cnig_chr_IV.g13038.t1	Cnig_chr_IV	5423741	5427978	+	4238	1773	1681	1643	1418	1863	1531
Cnig_chr_II.g5060.t1	Cnig_chr_II	5666480	5668595	+	2116	533	540	502	535	591	573
Cnig_chr_V.g16313.t1	Cnig_chr_V	70952	72770	-	1819	6847	7311	7172	3644	3157	3649
Cnig_chr_III.g9266.t1	Cnig_chr_III	4539905	4543128	-	3224	898	693	578	934	1055	826
Cnig_chr_X.g23389.t1	Cnig_chr_X	6612571	6612958	+	388	54	37	47	51	39	31
Cnig_chr_I.g1758.t1	Cnig_chr_I	7636117	7636838	-	722	271	281	285	182	234	247
Cnig_chr_III.g8701.t1	Cnig_chr_III	1639842	1643769	-	3928	1441	1423	1573	1253	1103	961
Cnig_chr_I.g1023.t2	Cnig_chr_I	4873297	4878473	-	5177	441	421	452	529	456	517
Cnig_chr_I.g2418.t1	Cnig_chr_I	9994640	9996999	-	2360	108	94	107	144	160	123
Cnig_chr_I.g1356.t1	Cnig_chr_I	6171531	6174418	-	2888	12427	12017	11946	10714	8416	10304
Cnig_chr_V.g20266.t1	Cnig_chr_V	14972463	14975491	-	3029	151	135	146	833	689	598
Cnig_chr_II.g4110.t1	Cnig_chr_II	613370	617123	-	3754	677	655	667	431	632	464
Cnig_chr_I.g2525.t2	Cnig_chr_I	10424900	10425784	+	885	400	405	422	713	780	659
Cnig_chr_V.g19310.t1	Cnig_chr_V	11387916	11389790	-	1875	71216	67472	70304	57871	68787	60415
Cnig_chr_I.g2462.t3	Cnig_chr_I	10154196	10157865	+	3670	50	48	46	214	147	307
Cnig_chr_IV.g15967.t1	Cnig_chr_IV	18980092	18980914	+	823	29701	23648	25922	27335	27083	23516
Cnig_chr_IV.g13266.t2	Cnig_chr_IV	6586335	6589995	+	3661	38	29	23	80	79	84
Cnig_chr_I.g1383.t1	Cnig_chr_I	6258971	6259685	+	715	17623	16196	16853	16994	17163	17541
Cnig_chr_II.g3984.t2	Cnig_chr_II	111402	113064	+	1663	8	7	2	22	9	11
Cnig_chr_III.g9692.t1	Cnig_chr_III	6245159	6248464	+	3306	6210	7536	7010	4571	3363	3980
Cnig_chr_I.g2052.t1	Cnig_chr_I	8780237	8782801	-	2565	1599	1873	1811	1362	1136	1318
Cnig_chr_IV.g15270.t1	Cnig_chr_IV	14906172	14907078	+	907	232	194	245	429	371	348
Cnig_chr_I.g2500.t1	Cnig_chr_I	10267977	10270136	+	2160	3	1	1	2	4	4
Cnig_chr_II.g7492.t1	Cnig_chr_II	15668394	15670251	+	1858	249	251	295	309	287	242
Cnig_chr_X.g22796.t1	Cnig_chr_X	3232179	3238276	-	6098	3347	6414	5003	3226	2524	4756
Cnig_chr_IV.g16182.t1	Cnig_chr_IV	20010505	20012908	-	2404	119	107	100	430	329	396
Cnig_chr_V.g17441.t1	Cnig_chr_V	4278687	4284106	-	5420	929	773	851	1005	980	1072
Cnig_chr_V.g19488.t3	Cnig_chr_V	11998941	12002680	+	3740	1512	1668	1446	2130	1727	2067
Cnig_chr_I.g2382.t1	Cnig_chr_I	9868613	9870203	-	1591	489	352	566	705	648	764
Cnig_chr_IV.g13693.t2	Cnig_chr_IV	8693183	8695841	+	2659	1238	1279	1374	1024	914	1232
Cnig_chr_III.g11599.t1	Cnig_chr_III	13874992	13877906	-	2915	5256	3912	4767	6937	6390	6510
Cnig_chr_V.g19161.t1	Cnig_chr_V	10860595	10862494	+	1900	1782	1869	1918	2382	1805	2494
Cnig_chr_V.g20487.t1	Cnig_chr_V	15715041	15717035	-	1995	1577	1760	1804	1516	2165	1775
Cnig_chr_II.g3974.t1	Cnig_chr_II	86575	87867	+	1293	878	1010	1021	823	875	864
Cnig_chr_I.g1386.t1	Cnig_chr_I	6269604	6270541	-	938	1776	2164	1949	1366	1425	1861
Cnig_chr_II.g5632.t1	Cnig_chr_II	8231938	8234274	+	2337	1932	1710	1617	3473	2441	2264
Cnig_chr_V.g20807.t2	Cnig_chr_V	16809447	16812138	+	2692	524	364	427	808	581	623
Cnig_chr_X.g24134.t1	Cnig_chr_X	10544772	10548066	-	3295	136	91	82	245	223	189
Cnig_chr_V.g20038.t2	Cnig_chr_V	14149462	14154012	-	4551	7461	3932	6761	9144	5593	6194
Cnig_chr_I.g362.t1	Cnig_chr_I	1822805	1830178	-	7374	1407	1371	1646	2222	1911	2228
Cnig_chr_III.g11813.t1	Cnig_chr_III	14989390	14995637	+	6248	459	298	355	901	969	836
Cnig_chr_II.g5566.t1	Cnig_chr_II	7975407	7977203	+	1797	2186	1962	2181	2549	2432	2255
Cnig_chr_I.g1242.t3	Cnig_chr_I	5681877	5685805	-	3929	832	541	747	774	586	658
Cnig_chr_IV.g15797.t1	Cnig_chr_IV	17979216	17981414	-	2199	1303	1287	1300	1331	1662	1384
Cnig_chr_I.g2519.t1	Cnig_chr_I	10343936	10347011	-	3076	201	167	163	376	304	353
Cnig_chr_II.g6223.t1	Cnig_chr_II	10632121	10635173	-	3053	9422	4402	7353	16730	7285	8780
Cnig_chr_IV.g13209.t1	Cnig_chr_IV	6264270	6264906	-	637	6208	5656	6082	6022	7295	6083
Cnig_chr_III.g10310.t1	Cnig_chr_III	8594539	8595764	+	1226	1928	1512	1968	1844	1434	1580
Cnig_chr_X.g24576.t1	Cnig_chr_X	12777770	12781150	+	3381	231	217	194	323	308	318
Cnig_chr_X.g24409.t1	Cnig_chr_X	11977181	11981582	-	4402	837	920	976	1038	728	769
Cnig_chr_III.g11916.t2	Cnig_chr_III	15434623	15437327	+	2705	300	284	248	552	521	468
Cnig_chr_III.g10511.t1	Cnig_chr_III	9267716	9269059	+	1344	1077	1353	1298	948	725	951
Cnig_chr_IV.g15090.t3	Cnig_chr_IV	13883396	13885176	-	1781	1296	774	1101	1109	1153	814
Cnig_chr_I.g3896.t1	Cnig_chr_I	16478923	16482491	+	3569	1216	1187	998	1313	1095	1253
Cnig_chr_X.g24711.t1	Cnig_chr_X	13421823	13423912	+	2090	345	256	374	833	620	550
Cnig_chr_II.g5993.t1	Cnig_chr_II	9648955	9651117	+	2163	15868	6878	10918	24706	15624	14106
Cnig_chr_I.g811.t1	Cnig_chr_I	3993708	3997727	+	4020	2512	2741	2908	3123	2390	2955
Cnig_chr_X.g24215.t1	Cnig_chr_X	11003969	11012572	+	8604	8819	16198	12859	7553	4220	6756
Cnig_chr_V.g19268.t1	Cnig_chr_V	11244025	11246062	+	2038	2436	2282	2583	1182	1108	1196
Cnig_chr_II.g6203.t2	Cnig_chr_II	10522697	10529669	-	6973	1484	1275	1525	3157	2182	2830
Cnig_chr_III.g10481.t1	Cnig_chr_III	9124848	9126693	+	1846	484	476	431	706	737	731
Cnig_chr_I.g879.t1	Cnig_chr_I	4266009	4271605	-	5597	671	596	587	552	419	478
Cnig_chr_III.g10678.t1	Cnig_chr_III	9835645	9837404	+	1760	370	245	297	902	810	627
Cnig_chr_II.g5244.t1	Cnig_chr_II	6525437	6533592	-	8156	2316	2770	2603	2896	2107	2380
Cnig_chr_II.g4714.t1	Cnig_chr_II	4132919	4134833	+	1915	9954	10412	10520	6742	6426	6880
Cnig_chr_I.g2084.t1	Cnig_chr_I	8873875	8874902	+	1028	147239	129485	138894	113965	123230	115589
Cnig_chr_IV.g13603.t1	Cnig_chr_IV	8331581	8333799	+	2219	2522	2782	2813	2957	2813	3124
Cnig_chr_IV.g14910.t2	Cnig_chr_IV	13129467	13130374	+	908	567	465	531	463	470	453
Cnig_chr_V.g16503.t1	Cnig_chr_V	618768	621834	+	3067	512	215	308	893	698	493
Cnig_chr_III.g11196.t2	Cnig_chr_III	11733459	11738769	+	5311	7771	6838	7680	8941	6942	8277
Cnig_chr_III.g9261.t2	Cnig_chr_III	4502497	4507818	+	5322	1269	1496	1444	790	712	931
Cnig_chr_IV.g14230.t1	Cnig_chr_IV	10612567	10616488	+	3922	1785	1858	1924	1962	1493	1681
Cnig_chr_I.g3596.t3	Cnig_chr_I	15051216	15059513	+	8298	273	263	240	441	399	346
Cnig_chr_II.g5605.t3	Cnig_chr_II	8119259	8121926	-	2668	13331	13578	14106	11731	9640	11734
Cnig_chr_II.g4731.t2	Cnig_chr_II	4237853	4244517	+	6665	7773	5202	6535	9692	6693	6890
Cnig_chr_I.g1520.t2	Cnig_chr_I	6660934	6662150	+	1217	1517	1829	1680	1043	880	966
Cnig_chr_IV.g14908.t1	Cnig_chr_IV	13126521	13128702	+	2182	812	756	747	658	617	632
Cnig_chr_IV.g14088.t1	Cnig_chr_IV	10068753	10069395	-	643	452	832	579	283	365	759
Cnig_chr_I.g3623.t1	Cnig_chr_I	15305172	15311270	-	6099	1001	2488	1487	552	560	1324
Cnig_chr_V.g20505.t1	Cnig_chr_V	15780808	15782160	-	1353	173	195	144	22	18	21
Cnig_chr_III.g9540.t4	Cnig_chr_III	5588506	5591557	+	3052	1701	2107	1997	1325	1026	1115
Cnig_chr_V.g16479.t1	Cnig_chr_V	550338	550864	-	527	1130	1163	1268	1129	1001	1031
Cnig_chr_V.g20547.t1	Cnig_chr_V	15930275	15931754	-	1480	2312	2261	2215	1807	1939	1964
Cnig_chr_I.g2059.t1	Cnig_chr_I	8799862	8800421	+	560	9	4	10	48	36	29
Cnig_chr_III.g10900.t1	Cnig_chr_III	10619932	10622662	+	2731	9810	12002	11730	2997	2418	2846
Cnig_chr_III.g9660.t1	Cnig_chr_III	6087999	6089769	-	1771	47	25	49	271	269	276
Cnig_chr_II.g6805.t3	Cnig_chr_II	12853180	12863086	+	9907	3255	3233	3309	2733	2144	2444
Cnig_chr_I.g2375.t1	Cnig_chr_I	9854928	9857031	-	2104	3467	3619	3543	4238	3711	4354
Cnig_chr_III.g10068.t1	Cnig_chr_III	7626680	7629322	-	2643	10384	14600	13388	6250	4449	6092
Cnig_chr_IV.g13580.t1	Cnig_chr_IV	8288406	8288791	-	386	1783	1286	1405	1263	1115	1258
Cnig_chr_III.g9448.t1	Cnig_chr_III	5254582	5257493	+	2912	218	191	145	342	374	307
Cnig_chr_IV.g12040.t1	Cnig_chr_IV	258638	260028	-	1391	670	660	681	829	1098	890
Cnig_chr_V.g17163.t2	Cnig_chr_V	3198259	3201210	+	2952	7	9	5	8	8	12
Cnig_chr_I.g980.t1	Cnig_chr_I	4724668	4726174	-	1507	7149	4358	6615	6248	4766	4417
Cnig_chr_II.g5131.t3	Cnig_chr_II	5954300	5963869	+	9570	1366	1444	1459	1998	1069	1754
Cnig_chr_X.g23259.t3	Cnig_chr_X	5938680	5940790	-	2111	0	0	0	3	2	2
Cnig_chr_I.g3501.t3	Cnig_chr_I	14551196	14560641	-	9446	2875	2058	3868	3828	3631	3833
Cnig_chr_II.g4847.t1	Cnig_chr_II	4761575	4764057	+	2483	1087	1573	1525	452	352	454
Cnig_chr_I.g1376.t1	Cnig_chr_I	6241486	6243189	-	1704	15	16	5	605	497	986
Cnig_chr_X.g22246.t3	Cnig_chr_X	299853	305040	+	5188	2702	2468	2680	3127	2027	2610
Cnig_chr_III.g8730.t1	Cnig_chr_III	1832390	1837752	-	5363	290	285	228	270	188	224
Cnig_chr_V.g21908.t3	Cnig_chr_V	20939280	20941078	+	1799	21	49	8	2295	2185	4728
Cnig_chr_I.g522.t1	Cnig_chr_I	2846935	2851573	-	4639	584	622	496	368	305	382
Cnig_chr_V.g19105.t1	Cnig_chr_V	10687592	10687961	+	370	456	561	192	197	240	204
Cnig_chr_I.g1775.t1	Cnig_chr_I	7700522	7701481	+	960	191	175	224	599	682	536
Cnig_chr_X.g23260.t1	Cnig_chr_X	5959179	5959499	-	321	0	0	1	0	0	0
Cnig_chr_X.g25854.t1	Cnig_chr_X	19440301	19443567	+	3267	898	744	1108	1084	833	1100
Cnig_chr_IV.g14165.t1	Cnig_chr_IV	10377104	10381365	+	4262	1458	1341	1572	1221	1334	995
Cnig_chr_IV.g16154.t1	Cnig_chr_IV	19860853	19862353	+	1501	1568	1175	1371	2047	2097	1785
Cnig_chr_IV.g15126.t1	Cnig_chr_IV	14083429	14084451	+	1023	1169	1045	1568	1303	965	1531
Cnig_chr_II.g5728.t1	Cnig_chr_II	8571068	8573653	+	2586	2322	1804	1795	1306	1020	1075
Cnig_chr_V.g18482.t2	Cnig_chr_V	8393309	8395245	+	1937	1161	996	1310	962	908	978
Cnig_chr_I.g1725.t1	Cnig_chr_I	7485608	7487855	-	2248	650	558	519	171	159	169
Cnig_chr_III.g10894.t3	Cnig_chr_III	10591708	10593044	-	1337	345	402	289	279	236	307
Cnig_chr_III.g10832.t1	Cnig_chr_III	10301137	10303320	+	2184	3425	3844	3784	3320	2540	3165
Cnig_chr_III.g9518.t1	Cnig_chr_III	5507925	5508373	-	449	588	583	642	402	392	429
Cnig_chr_IV.g13341.t1	Cnig_chr_IV	7050816	7051928	-	1113	6223	7618	4708	2459	5582	5087
Cnig_chr_V.g18877.t1	Cnig_chr_V	9811300	9812139	-	840	783	893	764	556	535	832
Cnig_chr_I.g1322.t1	Cnig_chr_I	6019957	6020297	+	341	4	1	0	235	246	502
Cnig_chr_I.g963.t1	Cnig_chr_I	4620851	4622886	-	2036	2	7	3	735	607	966
Cnig_chr_IV.g13531.t3	Cnig_chr_IV	8064861	8068352	+	3492	1638	1532	3077	3184	2772	4088
Cnig_chr_I.g460.t1	Cnig_chr_I	2522506	2526331	-	3826	2265	2234	2253	1872	2229	1920
Cnig_chr_III.g10880.t1	Cnig_chr_III	10518776	10519651	+	876	12	13	13	15	11	21
Cnig_chr_III.g11241.t1	Cnig_chr_III	12020886	12022413	-	1528	7	7	1	653	567	801
Cnig_chr_V.g19462.t2	Cnig_chr_V	11891471	11893655	-	2185	19	22	17	159	121	214
Cnig_chr_I.g1777.t2	Cnig_chr_I	7707127	7707868	-	742	1206	1134	1156	1448	1402	1382
Cnig_chr_IV.g12702.t1	Cnig_chr_IV	3543636	3544644	-	1009	67117	58249	63721	51358	55021	50422
Cnig_chr_IV.g14927.t1	Cnig_chr_IV	13180498	13182602	-	2105	6720	6613	6705	5681	5256	5222
Cnig_chr_I.g490.t1	Cnig_chr_I	2694940	2695558	-	619	1768	1819	1721	778	998	806
Cnig_chr_X.g24932.t1	Cnig_chr_X	14504310	14508778	-	4469	4305	3644	4440	4592	3098	3492
Cnig_chr_III.g8737.t1	Cnig_chr_III	1860939	1863231	-	2293	1097	1163	1107	856	951	914
Cnig_chr_IV.g15145.t1	Cnig_chr_IV	14179294	14180196	-	903	1193	1177	1333	1258	1207	1306
Cnig_chr_II.g4177.t1	Cnig_chr_II	1086243	1087964	-	1722	18	7	10	125	121	66
Cnig_chr_V.g18945.t1	Cnig_chr_V	10040616	10041038	-	423	5404	5559	5590	4271	4323	4109
Cnig_chr_II.g5165.t1	Cnig_chr_II	6115408	6119638	+	4231	75	47	54	245	279	255
Cnig_chr_I.g1783.t3	Cnig_chr_I	7718682	7723112	-	4431	75	94	52	103	88	112
Cnig_chr_III.g11450.t2	Cnig_chr_III	13102533	13105701	+	3169	1654	1441	1580	1712	1841	1632
Cnig_chr_IV.g13325.t1	Cnig_chr_IV	6984704	6987183	+	2480	297	770	364	293	331	531
Cnig_chr_II.g5811.t1	Cnig_chr_II	8934207	8934905	-	699	88159	80209	82649	67449	107125	70469
