I.g1000,WBGene00040698,Cbr-imb-3
IV.g12896,WBGene00037187,CBG17612
IV.g12897,WBGene00037185,Cbr-sdz-13
IV.g12898,WBGene00087873,CBG26459
IV.g12899,WBGene00037184,CBG17607
IV.g12900,.
IV.g12902,WBGene00027069,CBG04386
IV.g12903,WBGene00027070,CBG04388
IV.g12904,WBGene00027071,CBG04389
IV.g12905,WBGene00027072,Cbr-acs-18
IV.g12906,WBGene00027073,Cbr-unc-43
IV.g12907,WBGene00027073,Cbr-unc-43
IV.g12908,WBGene00027073,Cbr-unc-43
IV.g12909,WBGene00027075,CBG04396
IV.g12910,WBGene00027076,CBG04400
IV.g12911,WBGene00027077,CBG04401
IV.g12914,WBGene00027080,Cbr-ebax-1
IV.g12915,WBGene00027081,Cbr-rad-51
IV.g12916,WBGene00027082,Cbr-thk-1
IV.g12917,WBGene00027083,CBG04407
IV.g12918,WBGene00087876,CBG26462
IV.g12919,WBGene00027084,CBG04410
IV.g12920,WBGene00027085,CBG04412
IV.g12921,WBGene00027086,CBG04414
IV.g12923,WBGene00027088,Cbr-efn-2
IV.g12924,WBGene00027089,Cbr-lgc-43
IV.g12925,WBGene00027090,Cbr-oac-8
IV.g12926,WBGene00027091,CBG04421
IV.g12927,WBGene00027092,CBG04422
IV.g12928,WBGene00027093,Cbr-epi-1
IV.g12929,WBGene00027094,CBG04424
IV.g12930,WBGene00027095,CBG04426
IV.g12931,WBGene00027096,CBG04427
IV.g12932,WBGene00027097,Cbr-glb-19
IV.g12933,WBGene00027098,CBG04430
IV.g12934,WBGene00027099,Cbr-fmo-1
IV.g12936,WBGene00027100,CBG04432
IV.g12937,WBGene00027101,CBG04433
IV.g12938,WBGene00027102,Cbr-ptr-14
IV.g12939,WBGene00027103,CBG04435
IV.g12940,WBGene00027104,CBG04436
IV.g12941,WBGene00027105,CBG04437
IV.g12942,WBGene00027106,CBG04438
IV.g12943,WBGene00271174,CBG30365
IV.g12944,WBGene00027107,CBG04439
IV.g12945,WBGene00027108,Cbr-nkb-2
IV.g12946,WBGene00027109,CBG04441
IV.g12949,WBGene00271571,CBG30935
IV.g12950,WBGene00027112,CBG04445
IV.g12952,WBGene00027113,CBG04446
IV.g12954,WBGene00027115,CBG04448
IV.g12958,WBGene00027118,CBG04452
IV.g12960,WBGene00027120,Cbr-fkb-6
IV.g12962,WBGene00027123,Cbr-sti-1
IV.g12963,WBGene00027122,CBG04456
IV.g12964,WBGene00027124,CBG04458
IV.g12965,WBGene00087884,CBG26470
IV.g12967,WBGene00027126,CBG04461
IV.g12968,WBGene00027127,CBG04462
IV.g12969,WBGene00027128,CBG04463
IV.g12972,WBGene00027131,CBG04466
IV.g12976,WBGene00042749,Cbr-lpd-8
IV.g12977,WBGene00042750,Cbr-mask-1
IV.g12978,WBGene00042751,CBG24702
IV.g12981,WBGene00030218,Cbr-csn-4
IV.g12982,WBGene00030217,Cbr-cct-8
IV.g12983,WBGene00030216,CBG08424
IV.g12984,WBGene00030215,Cbr-cox-18
IV.g12985,WBGene00030214,Cbr-pqn-60
IV.g12987,.
IV.g12988,.
IV.g12989,WBGene00030211,Cbr-srx-12
IV.g12993,WBGene00030207,Cbr-abhd-14
IV.g12995,WBGene00030206,Cbr-snn-1
IV.g12998,WBGene00030202,Cbr-cmk-1
IV.g12999,WBGene00087910,CBG26496
IV.g13001,WBGene00030199,Cbr-egl-4
IV.g13002,WBGene00030199,Cbr-egl-4
IV.g13004,WBGene00030197,Cbr-frpr-19
IV.g13005,WBGene00030196,CBG08398
IV.g13006,WBGene00030195,CBG08397
IV.g13009,WBGene00030193,CBG08395
IV.g13010,WBGene00030192,CBG08394
IV.g13011,WBGene00030191,Cbr-ugt-59
IV.g13012,WBGene00087909,CBG26495
IV.g13013,WBGene00087909,CBG26495
IV.g13014,WBGene00030190,CBG08390
IV.g13021,WBGene00030186,Cbr-mec-3
IV.g13022,WBGene00030185,Cbr-srb-17
IV.g13023,WBGene00087908,CBG26494
IV.g13024,WBGene00030183,CBG08382
IV.g13026,WBGene00030181,CBG08380
IV.g13028,WBGene00030180,Cbr-gpa-7
IV.g13030,WBGene00030178,CBG08375
IV.g13031,WBGene00030177,CBG08374
IV.g13032,WBGene00030176,CBG08373
IV.g13033,WBGene00030175,CBG08372
IV.g13035,WBGene00030174,Cbr-ins-1
IV.g13038,WBGene00030172,CBG08368
IV.g13039,WBGene00030171,CBG08367
IV.g13040,WBGene00030170,CBG08366
IV.g13041,WBGene00030169,CBG08365
IV.g13042,WBGene00030168,CBG08364
IV.g13044,WBGene00030166,Cbr-tax-6
IV.g13059,WBGene00030155,CBG08345
IV.g13063,WBGene00030152,Cbr-ced-5
IV.g13066,WBGene00030149,Cbr-egl-21
IV.g13068,WBGene00030148,Cbr-bgnt-1.1
IV.g13069,WBGene00030147,Cbr-otpl-1
IV.g13072,WBGene00030142,CBG08329
IV.g13073,WBGene00030140,Cbr-taf-2
IV.g13074,WBGene00030139,CBG08326
IV.g13075,WBGene00030138,CBG08325
IV.g13076,WBGene00030137,Cbr-taf-6.2
IV.g13077,WBGene00030136,Cbr-map-1
IV.g13079,WBGene00030135,CBG08322
IV.g13083,WBGene00030131,CBG08316
IV.g13085,WBGene00030128,CBG08312
IV.g13086,WBGene00030129,CBG08313
IV.g13087,WBGene00270585,CBG30433
IV.g13088,WBGene00030127,Cbr-madf-9
IV.g13089,WBGene00030125,CBG08309
IV.g13090,WBGene00030124,Cbr-cha-1
IV.g13093,WBGene00030121,CBG08303
IV.g13097,WBGene00030119,Cbr-ltah-1.2
IV.g13099,WBGene00030118,CBG08300
IV.g13100,WBGene00030117,CBG08299
IV.g13101,WBGene00030116,CBG08298
IV.g13102,WBGene00030114,CBG08295
IV.g13105,WBGene00030111,CBG08292
IV.g13107,WBGene00030110,Cbr-smgl-2
IV.g13110,WBGene00030107,Cbr-siah-1
IV.g13111,WBGene00030106,Cbr-swsn-4
IV.g13114,WBGene00284863,CBG31102
IV.g13115,WBGene00030105,CBG08286
IV.g13116,WBGene00030104,Cbr-glct-6
IV.g13118,WBGene00030102,CBG08282
IV.g13119,WBGene00087893,CBG26479
IV.g13120,WBGene00087892,CBG26478
IV.g13122,WBGene00087891,CBG26477
IV.g13123,WBGene00087890,CBG26476
IV.g13124,WBGene00032039,CBG10753
IV.g13130,WBGene00032035,Cbr-vab-2
IV.g13135,WBGene00032030,Cbr-oac-22
IV.g13136,WBGene00032029,Cbr-osm-3
IV.g13137,WBGene00032028,Cbr-algn-14
IV.g13138,WBGene00032027,CBG10739
IV.g13139,WBGene00032026,CBG10738
IV.g13142,WBGene00087887,CBG26473
IV.g13143,WBGene00032024,Cbr-zag-1
IV.g13144,WBGene00032023,CBG10735
IV.g13146,WBGene00032021,CBG10733
IV.g13147,WBGene00032020,CBG10732
IV.g13148,WBGene00032019,CBG10731
IV.g13149,WBGene00032018,CBG10730
IV.g13150,WBGene00032017,Cbr-bris-1
IV.g13158,WBGene00032011,CBG10722
IV.g13159,WBGene00032010,CBG10721
IV.g13162,WBGene00087886,CBG26472
IV.g13163,WBGene00032007,Cbr-gst-40
IV.g13164,WBGene00032006,Cbr-srt-24
IV.g13167,WBGene00032003,Cbr-cutl-26
IV.g13168,WBGene00032002,CBG10706
IV.g13172,WBGene00088253,CBG26839
IV.g13174,WBGene00040107,Cbr-prmt-4
IV.g13178,WBGene00040112,CBG21293
IV.g13233,WBGene00040084,CBG21256
IV.g13234,WBGene00040085,CBG21257
IV.g13236,WBGene00040087,CBG21259
IV.g13237,WBGene00040088,CBG21260
IV.g13239,WBGene00040090,Cbr-col-102
IV.g13240,WBGene00040091,CBG21263
IV.g13241,WBGene00040092,Cbr-col-116
IV.g13242,WBGene00040093,CBG21266
IV.g13243,WBGene00040094,CBG21268
IV.g13244,WBGene00040095,Cbr-praf-3
IV.g13247,WBGene00040098,CBG21272
IV.g13252,WBGene00040099,Cbr-aagr-1
IV.g13255,WBGene00037884,Cbr-sqv-1
IV.g13257,WBGene00037886,Cbr-tmem-231
IV.g13258,WBGene00037887,CBG18471
IV.g13260,WBGene00037889,CBG18473
IV.g13261,WBGene00037891,CBG18476
IV.g13263,WBGene00037892,Cbr-eppl-1
IV.g13265,WBGene00037895,CBG18482
IV.g13267,WBGene00037897,CBG18486
IV.g13271,WBGene00037901,CBG18490
IV.g13275,WBGene00037904,CBG18497
IV.g13276,WBGene00037905,Cbr-hlh-12.1
IV.g13277,WBGene00037906,Cbr-spp-8
IV.g13284,WBGene00037912,CBG18507
IV.g13288,WBGene00035798,Cbr-cks-1
IV.g13290,WBGene00035801,Cbr-hyl-1
IV.g13293,WBGene00035804,Cbr-npr-22
IV.g13297,WBGene00042479,Cbr-catp-7
IV.g13299,WBGene00042481,CBG24348
IV.g13302,WBGene00026374,CBG03525
IV.g13305,WBGene00271185,CBG30376
IV.g13306,WBGene00026372,CBG03520
IV.g13308,WBGene00026371,Cbr-lin-49
IV.g13317,WBGene00026363,CBG03511
IV.g13326,WBGene00087913,CBG26499
IV.g13327,WBGene00026358,CBG03501
IV.g13332,WBGene00042579,CBG24479
IV.g13333,WBGene00042580,CBG24480
IV.g13336,WBGene00042583,Cbr-cdh-5
IV.g13342,WBGene00038829,CBG19651
IV.g13343,WBGene00038831,Cbr-hst-1
IV.g13344,WBGene00038833,Cbr-dic-1
IV.g13345,WBGene00038834,CBG19656
IV.g13346,WBGene00038835,Cbr-pole-2
IV.g13347,WBGene00038836,Cbr-nlp-60
IV.g13348,WBGene00038837,CBG19659
IV.g13352,WBGene00036375,CBG16436
IV.g13353,WBGene00036376,CBG16437
IV.g13362,WBGene00036382,CBG16448
IV.g13371,WBGene00036388,CBG16456
IV.g13381,WBGene00042119,CBG23873
IV.g13382,WBGene00042118,CBG23872
IV.g13385,WBGene00035781,CBG15595
IV.g13387,WBGene00035783,CBG15597
IV.g13391,WBGene00088230,CBG26816
IV.g13396,WBGene00088235,CBG26821
IV.g13397,WBGene00088236,CBG26822
IV.g13399,WBGene00088238,CBG26824
IV.g13400,.
IV.g13401,WBGene00088239,CBG26825
IV.g13402,WBGene00088240,CBG26826
IV.g13406,WBGene00035790,CBG15622
IV.g13407,WBGene00035792,CBG15624
IV.g13411,WBGene00033414,CBG12468
IV.g13412,WBGene00033415,Cbr-col-118
IV.g13413,WBGene00033416,CBG12470
IV.g13414,WBGene00033417,CBG12471
IV.g13415,WBGene00042257,CBG24050
IV.g13418,.
IV.g13419,WBGene00042259,Cbr-exc-5
IV.g13429,WBGene00042398,CBG24238
IV.g13431,WBGene00042397,Cbr-npp-23
IV.g13436,WBGene00039953,CBG21085
IV.g13439,WBGene00039950,CBG21080
IV.g13440,WBGene00039949,CBG21079
IV.g13447,WBGene00039943,CBG21071
IV.g13452,WBGene00087919,CBG26505
IV.g13453,WBGene00087920,CBG26506
IV.g13454,WBGene00087921,CBG26507
IV.g13456,WBGene00039939,CBG21063
IV.g13457,WBGene00270627,CBG30475
IV.g13458,WBGene00039938,CBG21061
IV.g13465,WBGene00039931,Cbr-pdhb-1
IV.g13466,WBGene00039930,Cbr-lgc-9
IV.g13467,WBGene00039929,Cbr-mai-2
IV.g13468,WBGene00039928,CBG21047
IV.g13469,WBGene00039927,CBG21046
IV.g13471,WBGene00039926,Cbr-otub-4
IV.g13472,WBGene00039925,Cbr-vha-19
IV.g13474,WBGene00027812,CBG05349
IV.g13475,WBGene00027813,CBG05351
IV.g13478,WBGene00027815,Cbr-dpy-13
IV.g13479,WBGene00027816,Cbr-col-34
IV.g13480,WBGene00027817,Cbr-ama-1
IV.g13486,WBGene00027820,Cbr-clec-78
IV.g13488,WBGene00027824,Cbr-nhr-78
IV.g13492,WBGene00042624,CBG24536
IV.g13493,WBGene00042155,CBG23918
IV.g13495,WBGene00042153,CBG23916
IV.g13498,WBGene00042148,Cbr-ech-5
IV.g13503,WBGene00042147,CBG23910
IV.g13504,WBGene00042144,Cbr-ugt-52
IV.g13505,WBGene00087962,CBG26548
IV.g13506,WBGene00042143,Cbr-mrpl-2
IV.g13507,WBGene00042142,Cbr-faah-3
IV.g13509,WBGene00042140,CBG23899
IV.g13510,WBGene00034655,Cbr-madf-1
IV.g13511,WBGene00034653,Cbr-zipt-15
IV.g13513,WBGene00034652,Cbr-plx-1
IV.g13516,WBGene00034651,Cbr-lem-4
IV.g13519,WBGene00034647,CBG13978
IV.g13520,WBGene00034646,Cbr-mak-2
IV.g13523,WBGene00034643,Cbr-tsen-34
IV.g13524,WBGene00034642,Cbr-dnj-15
IV.g13525,WBGene00034641,Cbr-rnp-3
IV.g13527,WBGene00034639,Cbr-rbm-39
IV.g13528,WBGene00034639,Cbr-rbm-39
IV.g13530,WBGene00034637,CBG13967
IV.g13531,WBGene00303438,CBG31455
IV.g13532,WBGene00034636,CBG13966
IV.g13534,WBGene00034634,Cbr-atg-3
IV.g13535,WBGene00087927,CBG26513
IV.g13536,WBGene00034633,Cbr-perm-4
IV.g13538,WBGene00034631,CBG13959
IV.g13541,WBGene00087928,CBG26514
IV.g13542,WBGene00034628,Cbr-ets-8
IV.g13543,WBGene00087929,CBG26515
IV.g13544,WBGene00034627,CBG13951
IV.g13547,WBGene00034624,CBG13948
IV.g13549,WBGene00034622,Cbr-jtr-1
IV.g13551,WBGene00034620,Cbr-rpc-11
IV.g13552,WBGene00034619,CBG13942
IV.g13553,WBGene00034617,CBG13940
IV.g13555,WBGene00034614,Cbr-mdt-20
IV.g13556,WBGene00034612,Cbr-nhr-41
IV.g13559,WBGene00034610,CBG13933
IV.g13560,WBGene00034609,CBG13932
IV.g13561,WBGene00034608,CBG13931
IV.g13565,WBGene00034605,CBG13928
IV.g13569,WBGene00034602,Cbr-clp-7
IV.g13570,WBGene00034601,Cbr-col-106
IV.g13571,WBGene00034600,CBG13921
IV.g13572,WBGene00034598,CBG13918
IV.g13575,WBGene00303414,CBG31453
IV.g13576,WBGene00034594,Cbr-ubxn-2
IV.g13577,WBGene00034593,CBG13913
IV.g13578,WBGene00034592,CBG13912
IV.g13579,WBGene00270588,CBG30436
IV.g13580,WBGene00034591,Cbr-ubc-8
IV.g13584,WBGene00034586,CBG13906
IV.g13587,WBGene00034582,Cbr-atln-1
IV.g13588,WBGene00034581,Cbr-nhr-277
IV.g13589,WBGene00087932,CBG26518
IV.g13596,WBGene00034573,Cbr-hxk-3
IV.g13597,WBGene00034572,Cbr-npp-20
IV.g13598,WBGene00034571,CBG13888
IV.g13600,WBGene00087933,CBG26519
IV.g13601,WBGene00087934,CBG26520
IV.g13602,WBGene00034570,CBG13885
IV.g13603,WBGene00034569,Cbr-smf-3
IV.g13604,WBGene00034568,Cbr-daao-1
IV.g13605,WBGene00034567,Cbr-ngn-1
IV.g13607,WBGene00034565,CBG13879
IV.g13608,WBGene00034564,Cbr-ric-8
IV.g13612,WBGene00034560,CBG13874
IV.g13613,WBGene00034559,Cbr-hrpu-2
IV.g13614,WBGene00034558,CBG13872
IV.g13615,WBGene00034557,CBG13871
IV.g13616,WBGene00034556,CBG13870
IV.g13619,WBGene00034554,Cbr-lin-1
IV.g13621,WBGene00089243,CBG27829
IV.g13623,WBGene00036641,Cbr-cng-2
IV.g13624,WBGene00036642,Cbr-cpsf-1
IV.g13625,WBGene00270590,CBG30438
IV.g13626,WBGene00036644,Cbr-xpc-1
IV.g13627,WBGene00036645,Cbr-alkb-1
IV.g13628,WBGene00089244,CBG27830
IV.g13632,WBGene00036648,Cbr-trap-3
IV.g13633,WBGene00036649,CBG16816
IV.g13636,WBGene00036653,CBG16820
IV.g13637,WBGene00036654,Cbr-nhr-236
IV.g13638,WBGene00036655,Cbr-nsy-4
IV.g13639,WBGene00036656,CBG16823
IV.g13642,WBGene00036659,Cbr-vha-11
IV.g13644,WBGene00041093,CBG22559
IV.g13647,WBGene00031931,Cbr-drl-1
IV.g13649,WBGene00031929,CBG10571
IV.g13652,WBGene00271203,CBG30394
IV.g13654,WBGene00031926,Cbr-epg-9
IV.g13656,WBGene00031924,CBG10565
IV.g13657,WBGene00031923,CBG10564
IV.g13658,WBGene00031922,CBG10562
IV.g13662,.
IV.g13663,WBGene00087940,CBG26526
IV.g13664,WBGene00031917,Cbr-prmt-6
IV.g13665,WBGene00031916,Cbr-grl-20
IV.g13666,WBGene00031915,Cbr-glb-7
IV.g13667,WBGene00031913,Cbr-xbx-4
IV.g13668,WBGene00031912,Cbr-tsen-54
IV.g13672,WBGene00031910,Cbr-pqbp-1.1
IV.g13674,WBGene00031908,Cbr-fln-1
IV.g13677,WBGene00031904,CBG10537
IV.g13680,WBGene00031903,Cbr-sprr-3
IV.g13682,WBGene00031902,CBG10530
IV.g13683,WBGene00087944,CBG26530
IV.g13686,WBGene00041078,Cbr-col-101
IV.g13687,WBGene00041079,CBG22543
IV.g13688,WBGene00041080,Cbr-grl-26
IV.g13690,WBGene00041082,CBG22546
IV.g13691,WBGene00041083,Cbr-dpy-9
IV.g13692,WBGene00041084,Cbr-grl-19
IV.g13693,WBGene00041085,Cbr-pat-6
IV.g13694,WBGene00041086,CBG22550
IV.g13695,WBGene00041087,Cbr-ost-1
IV.g13697,WBGene00041088,CBG22553
IV.g13698,WBGene00041088,CBG22553
IV.g13699,WBGene00041089,CBG22554
IV.g13703,.
IV.g13707,WBGene00041042,CBG22500
IV.g13709,WBGene00041044,CBG22502
IV.g13716,WBGene00041046,Cbr-mca-2
IV.g13717,WBGene00041047,CBG22507
IV.g13718,WBGene00041048,CBG22508
IV.g13719,WBGene00270624,CBG30472
IV.g13721,WBGene00041049,CBG22509
IV.g13732,WBGene00041059,CBG22520
IV.g13733,WBGene00041060,Cbr-grd-16
IV.g13735,WBGene00041061,CBG22522
IV.g13736,WBGene00041062,CBG22523
IV.g13737,WBGene00041063,CBG22524
IV.g13738,WBGene00041064,Cbr-lgc-28
IV.g13739,WBGene00041065,CBG22526
IV.g13740,WBGene00041066,CBG22527
IV.g13741,WBGene00041068,Cbr-sma-10
IV.g13747,WBGene00041074,CBG22536
IV.g13748,WBGene00041075,CBG22537
IV.g13749,WBGene00041076,CBG22538
IV.g13750,WBGene00041077,CBG22539
IV.g13754,WBGene00034249,Cbr-gpa-4
IV.g13755,WBGene00034250,Cbr-rrp-8
IV.g13756,WBGene00034251,Cbr-nog-1
IV.g13757,WBGene00271208,CBG30399
IV.g13758,WBGene00034252,CBG13495
IV.g13759,WBGene00034253,Cbr-mrpl-55
IV.g13760,WBGene00034254,Cbr-dpm-1
IV.g13763,WBGene00034255,CBG13498
IV.g13765,WBGene00034257,Cbr-swt-1
IV.g13766,WBGene00034258,CBG13501
IV.g13767,WBGene00034259,CBG13502
IV.g13768,WBGene00087951,CBG26537
IV.g13769,WBGene00270631,CBG30479
IV.g13770,WBGene00034260,CBG13503
IV.g13771,.
IV.g13773,WBGene00034265,Cbr-eak-7
IV.g13774,WBGene00034266,Cbr-hsb-1
IV.g13775,WBGene00034267,CBG13510
IV.g13776,WBGene00034268,CBG13511
IV.g13777,WBGene00034269,CBG13512
IV.g13778,WBGene00034270,CBG13513
IV.g13779,WBGene00034271,Cbr-pgp-1
IV.g13783,WBGene00034273,Cbr-efa-6
IV.g13785,WBGene00034276,Cbr-dsc-4
IV.g13786,WBGene00034277,Cbr-snai-1
IV.g13788,WBGene00034279,Cbr-ham-1
IV.g13792,WBGene00034281,CBG13527
IV.g13793,WBGene00034282,Cbr-ubc-13
IV.g13794,WBGene00034283,Cbr-manf-1
IV.g13796,WBGene00034285,CBG13531
IV.g13799,WBGene00034287,Cbr-nprt-1
IV.g13800,WBGene00034288,CBG13534
IV.g13801,WBGene00034289,Cbr-clec-83
IV.g13802,WBGene00034290,Cbr-kgb-1
IV.g13803,WBGene00034293,Cbr-eri-1
IV.g13804,WBGene00034294,Cbr-daf-18
IV.g13805,WBGene00034295,CBG13541
IV.g13806,WBGene00034296,CBG13542
IV.g13807,WBGene00034297,Cbr-hum-8
IV.g13808,WBGene00034298,CBG13544
IV.g13810,WBGene00034299,Cbr-ears-2
IV.g13811,WBGene00034300,Cbr-aass-1
IV.g13812,WBGene00034301,Cbr-rps-24
IV.g13813,WBGene00271209,CBG30400
IV.g13814,WBGene00034302,Cbr-egl-18
IV.g13815,WBGene00034303,Cbr-elt-6
IV.g13820,WBGene00034304,CBG13553
IV.g13821,WBGene00034306,Cbr-clec-84
IV.g13822,WBGene00034307,Cbr-clec-80
IV.g13823,WBGene00034308,Cbr-clec-172.1
IV.g13824,WBGene00034309,Cbr-clec-172.2
IV.g13825,WBGene00271210,CBG30401
IV.g13826,WBGene00034310,CBG13560
IV.g13827,WBGene00034311,CBG13561
IV.g13828,WBGene00195105,CBG29111
IV.g13830,WBGene00195105,CBG29111
IV.g13832,WBGene00034315,CBG13565
IV.g13833,WBGene00034316,Cbr-hpo-6
IV.g13834,WBGene00034317,Cbr-npp-8
IV.g13835,WBGene00034318,Cbr-ced-2
IV.g13836,WBGene00034319,Cbr-set-23
IV.g13837,WBGene00034320,CBG13570
IV.g13841,WBGene00034321,Cbr-dsl-3
IV.g13842,WBGene00034322,Cbr-nhr-122
IV.g13844,WBGene00034323,Cbr-nhr-92
IV.g13845,WBGene00034324,Cbr-nhr-146
IV.g13846,WBGene00034325,CBG13577
IV.g13847,WBGene00034326,CBG13578
IV.g13848,WBGene00034327,Cbr-nhr-274
IV.g13849,WBGene00034329,CBG13581
IV.g13850,WBGene00034330,CBG13582
IV.g13851,WBGene00034331,CBG13583
IV.g13852,WBGene00034332,Cbr-bus-2
IV.g13854,WBGene00034334,Cbr-pbs-1
IV.g13855,WBGene00034335,CBG13587
IV.g13857,WBGene00034336,Cbr-rpi-2
IV.g13858,WBGene00034337,CBG13589
IV.g13859,WBGene00271211,CBG30402
V.g13860,WBGene00032647,Cbr-grl-17
V.g13862,WBGene00032645,Cbr-nuaf-1
V.g13863,WBGene00032644,Cbr-bir-2
V.g13864,WBGene00032643,CBG11536
V.g13865,WBGene00032642,CBG11535
V.g13866,WBGene00032641,CBG11534
V.g13867,WBGene00032640,CBG11533
V.g13868,WBGene00271212,CBG30482
V.g13869,WBGene00032639,CBG11532
V.g13870,WBGene00032638,Cbr-tbcb-1
V.g13871,WBGene00032637,CBG11530
V.g13872,WBGene00032636,Cbr-rdy-2
V.g13873,WBGene00032635,Cbr-fmo-4
V.g13874,WBGene00032634,CBG11525
V.g13875,WBGene00032633,CBG11524
V.g13876,WBGene00032632,CBG11523
V.g13877,WBGene00032631,Cbr-srd-11
V.g13878,WBGene00032630,CBG11521
V.g13880,WBGene00032629,CBG11519
V.g13881,WBGene00032628,CBG11518
V.g13882,WBGene00270650,CBG30596
V.g13883,WBGene00032626,CBG11516
V.g13884,WBGene00032625,CBG11515
V.g13885,WBGene00032624,CBG11514
V.g13886,WBGene00032623,CBG11513
V.g13887,WBGene00032622,Cbr-lpin-1
V.g13888,WBGene00032621,Cbr-letm-1
V.g13890,WBGene00032619,CBG11509
V.g13891,WBGene00032618,CBG11508
V.g13892,WBGene00032617,Cbr-ccz-1
V.g13893,WBGene00032616,CBG11506
V.g13896,WBGene00032614,CBG11504
V.g13897,WBGene00032613,CBG11503
V.g13898,WBGene00032612,Cbr-zipt-9
V.g13899,WBGene00032611,CBG11501
V.g13900,WBGene00032610,CBG11500
V.g13902,WBGene00032608,CBG11498
V.g13905,WBGene00032603,CBG11493
V.g13906,WBGene00032602,CBG11492
V.g13907,WBGene00032601,CBG11491
V.g13908,WBGene00032600,CBG11490
V.g13910,WBGene00032597,CBG11487
V.g13911,WBGene00032596,CBG11486
V.g13915,WBGene00032594,CBG11484
V.g13916,WBGene00032593,CBG11483
V.g13918,WBGene00032591,Cbr-twk-32
V.g13920,WBGene00032588,Cbr-ceh-24
V.g13921,WBGene00032586,Cbr-sel-10
V.g13922,WBGene00032585,Cbr-hpo-31
V.g13923,WBGene00032584,Cbr-nrf-5
V.g13926,WBGene00032578,Cbr-ttr-21
V.g13930,WBGene00032574,Cbr-srx-137
V.g13932,WBGene00032571,Cbr-nhr-175
V.g13934,WBGene00032569,Cbr-lbp-7
V.g13935,WBGene00032568,CBG11456
V.g13936,WBGene00032567,CBG11455
V.g13937,WBGene00032566,CBG11454
V.g13938,WBGene00032565,Cbr-srsx-19
V.g13939,WBGene00032564,Cbr-spp-12
V.g13940,WBGene00032562,CBG11450
V.g13941,WBGene00270691,CBG30637
V.g13944,WBGene00032560,Cbr-sptl-3
V.g13946,WBGene00032558,Cbr-oac-3
V.g13947,WBGene00032557,CBG11443
V.g13948,WBGene00032556,CBG11442
V.g13949,WBGene00032555,CBG11441
V.g13950,WBGene00032554,CBG11440
V.g13951,WBGene00032553,CBG11439
V.g13952,WBGene00032552,CBG11438
V.g13953,WBGene00032551,CBG11437
V.g13954,WBGene00032550,Cbr-str-252
V.g13955,WBGene00032549,Cbr-srx-42
V.g13959,WBGene00088277,CBG26863
V.g13960,WBGene00032547,CBG11431
V.g13962,WBGene00032545,Cbr-srw-145
V.g13963,WBGene00032544,Cbr-dpr-1
V.g13964,WBGene00032543,Cbr-srx-10
V.g13966,WBGene00032540,CBG11424
V.g13967,WBGene00032539,CBG11423
V.g13973,WBGene00032534,Cbr-algn-13
V.g13974,WBGene00032533,CBG11417
V.g13978,WBGene00032529,Cbr-end-1
V.g13981,WBGene00032525,Cbr-ric-7
V.g13983,WBGene00032525,Cbr-ric-7
V.g13985,WBGene00032523,Cbr-aip-1
V.g13994,WBGene00032516,CBG11397
V.g13997,WBGene00032515,Cbr-lmtr-2
V.g13998,WBGene00032514,Cbr-rpb-9
V.g13999,WBGene00032513,CBG11393
V.g14005,WBGene00032512,CBG11389
V.g14006,WBGene00032511,Cbr-sptl-2
V.g14007,WBGene00032510,Cbr-ech-3
V.g14008,WBGene00032509,CBG11386
V.g14009,WBGene00032508,CBG11385
V.g14010,WBGene00032507,Cbr-vars-1
V.g14017,WBGene00032504,Cbr-col-43
V.g14018,WBGene00032503,Cbr-sth-1
V.g14019,WBGene00032502,CBG11378
V.g14023,WBGene00271563,CBG30928
V.g14024,WBGene00032498,CBG11374
V.g14025,WBGene00032497,Cbr-str-144
V.g14026,.
V.g14027,WBGene00032496,Cbr-catp-3
V.g14028,WBGene00032495,Cbr-str-131
V.g14030,WBGene00032493,CBG11367
V.g14031,WBGene00032492,Cbr-str-130
V.g14034,WBGene00270697,CBG30643
V.g14035,WBGene00032488,Cbr-str-90
V.g14036,WBGene00088293,CBG26879
V.g14039,WBGene00032487,Cbr-myo-5
V.g14040,WBGene00032486,CBG11356
V.g14041,WBGene00304212,CBG31495
V.g14044,WBGene00032484,CBG11354
V.g14046,WBGene00271692,CBG31026
V.g14047,WBGene00032481,CBG11351
V.g14054,WBGene00032476,Cbr-snap-1
V.g14055,WBGene00032475,CBG11345
V.g14056,WBGene00032474,CBG11342
V.g14057,WBGene00088297,CBG26883
V.g14058,WBGene00032473,Cbr-sul-2
V.g14059,WBGene00032471,CBG11337
V.g14062,WBGene00032467,CBG11333
V.g14064,WBGene00032464,CBG11330
V.g14066,WBGene00303399,CBG31438
V.g14067,WBGene00032462,CBG11328
V.g14068,WBGene00032461,CBG11327
V.g14069,WBGene00032460,Cbr-cri-2
V.g14070,WBGene00088298,CBG26884
V.g14071,WBGene00032459,Cbr-timp-1
V.g14072,WBGene00032458,CBG11324
V.g14073,WBGene00032457,CBG11323
V.g14080,WBGene00032451,CBG11316
V.g14081,WBGene00032450,CBG11315
V.g14082,WBGene00088301,CBG26887
V.g14084,WBGene00032449,CBG11312
V.g14085,WBGene00032448,CBG11311
V.g14086,WBGene00032446,CBG11309
V.g14087,WBGene00032445,CBG11308
V.g14088,WBGene00032444,Cbr-srt-25
V.g14089,WBGene00271662,CBG30996
V.g14090,WBGene00032443,CBG11306
V.g14091,WBGene00032442,Cbr-asp-6
